cluster,ref,SimbadName,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,age,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,N_dr3,radial_velocity,radial_velocity_error,radial_velocity_std,rv_nb_transits,N_apogee,vhelio_avg,verr,vscatter,vhelio_avg_std,nvisits_apogee,N_rv_weighted,rv_weighted,rv_weighted_error,rv_weighted_std,X,X_std,Y,Y_std,Z,Z_std,U,U_std,V,V_std,W,W_std,3Dvel
2082,Liu+2019,Cl VDB 92,106.0559183,0.0467971192,-11.49739544,0.049210181,-4.307377807,0.05869192374,1.566882246,0.06304657655,0.8901672405,0.05600327742,7.079181246,1.089739815,15.66789771,16.53969202,14.80065212,1.739040658,0.8563856645,0.8826549309,33,21.96743497,10.75840251,25.15170305,11.57575758,0,nan,nan,nan,nan,nan,33,21.96743394,10.75840148,25.15170305,-804.4156685,66.49473019,-793.67385,65.76385281,-47.79403358,4.535660106,-28.20049435,18.05762259,-1.671209799,17.54598522,-17.46996571,2.07208485,33.21536581
2370,Liu+2019,,84.33028499,0.04343146726,-1.702511172,0.03813388131,1.688260718,0.05220114101,-0.8998963095,0.04356102116,2.6908254,0.05196582778,6.602059991,1.198722398,15.11368983,16.40770976,14.02408175,2.384188658,1.298165385,1.085574092,156,14.93605081,6.401266245,27.30025132,18.37179487,213,28.55444221,0.1132119123,5.538319583,7.92862892,2.742081448,267,25.7759697,1.344498178,11.85728124,-320.8300254,20.07947993,-155.5365347,15.93152945,-110.6014229,8.006407129,-21.39112023,10.20852053,-13.61767082,4.976006654,-5.75396697,3.566761129,26.00248294
2371,Liu+2019,,82.09408255,0.05044938243,1.901304643,0.04088050543,-0.4304680559,0.06264368323,0.6238266799,0.04820345169,2.726368973,0.06019301747,7.278753601,1.057092977,15.10963475,16.23561605,14.15632847,2.079287938,1.13081487,0.9484728859,30,27.35629679,3.856288147,11.48844301,20.16666667,12,30.63236745,0.1323345979,0.9887205124,7.250044036,1.8,31,28.13797779,2.544944272,11.65361443,-326.3172943,13.6395344,-127.7044031,5.767915155,-110.2598236,4.14354527,-25.47575044,10.35586437,-8.373640969,4.03525222,-8.673733373,3.615145548,28.18448819
2376,Liu+2019,,81.21485101,0.04704722904,-0.02921311925,0.03531576717,1.330176617,0.05946219157,-0.4864422631,0.04291834528,2.862262416,0.05967227996,7.278753601,1.37094419,15.38724481,16.639631,14.3168054,2.322826567,1.252385215,1.070441231,23,9.492279716,6.888013757,24.23440045,22.82608696,12,26.35608419,0.1542922457,4.670377731,10.7243695,2.666666667,26,13.44529878,4.435546342,24.04532509,-306.5825506,34.87713,-128.3205219,15.5549203,-115.5084595,12.27833994,-11.40874376,20.95476574,-6.795630371,8.737190941,-3.104176776,7.982135445,13.63729958
2439,Liu+2019,,103.5883654,0.04853785682,-5.893389589,0.05018756518,-7.384924988,0.05953449172,-2.466155962,0.05604544846,3.554753531,0.05869111499,6.903089987,1.081020768,15.30054041,16.56059338,14.24113454,2.319460914,1.274588033,1.044872673,49,21.98789013,5.78367895,30.18764497,10.2244898,0,nan,0,0,nan,0,49,21.98789078,5.783679296,30.18764497,-220.1566775,7.20451502,-175.2050097,6.750935623,-10.00679899,2.928278417,-17.89791279,23.51892354,-12.23115202,18.92707508,-11.0259286,0.8336256089,24.32092646
Alessi_20,CantatGaudin+2020,Cl Alessi 20,2.578746242,0.03249974211,58.74517868,0.03337301727,8.157513615,0.043067856,-2.394692777,0.04369175935,2.33443058,0.04616413597,6.96999979,1.063732372,15.45071745,16.71895516,14.37114709,2.347809607,1.268237715,1.07957202,38,-13.42894865,5.175562808,22.50254574,21.47368421,1,1.872861028,0.507625103,16.19796371,0,3,39,-13.03659505,5.055872258,22.34346984,-198.2675804,5.975532655,379.1426805,11.55859081,-27.67876884,1.902560431,-7.680127553,10.49892379,-19.24654437,19.67991916,-6.635392148,1.599992658,21.75872832
ASCC_127,CantatGaudin+2020,[KPR2005] 127,347.1838385,0.03864588697,64.91105131,0.03742881922,7.484058929,0.04995519687,-1.837801452,0.04665477867,2.647677913,0.04416984167,7.260000229,1.067798125,15.38377133,16.59806666,14.34916003,2.248906103,1.231849276,1.017056564,39,-13.91552891,4.069925553,17.67709975,18.69230769,4,-6.251684189,0.4767438769,4.495818615,2.207093984,2.5,40,-13.1616831,3.82001906,17.59142513,-143.1446646,4.523146817,348.6835879,9.317369269,27.55066072,3.454992086,-5.525518283,6.711892538,-15.79889384,16.23804123,-9.145785114,1.524488071,19.07306436
ASCC_16,CantatGaudin+2020,[KPR2005] 16,81.20075857,0.03837456839,1.668702861,0.0295784705,1.369355902,0.04782152993,0.03537355279,0.03557436534,2.874307546,0.04572021484,7.130000114,1.130619332,14.97291016,16.12504069,13.95548503,2.169554261,1.161098612,1.008455737,79,16.52174706,5.361780867,22.70255313,22.58227848,47,21.48445811,0.1326261196,0.9490922172,7.875398399,2.867924528,84,19.38898831,2.595598462,15.27369925,-308.180874,8.056796913,-119.0880108,3.41653939,-109.6658806,3.123236152,-17.35940884,13.53036132,-7.847701565,5.24551389,-4.236800273,4.806528087,19.51630015
ASCC_19,CantatGaudin+2020,[KPR2005] 19,81.93759153,0.03744376557,-2.013914158,0.03013348154,1.079003228,0.04839029908,-1.289347595,0.03669370924,2.813134579,0.05273265924,7.019999981,1.161043712,15.276971,16.56369999,14.21722521,2.346474511,1.286729404,1.059745175,34,14.50361813,4.106313818,24.250691,24.38235294,23,28.22225819,0.1341279411,0.5083531952,10.17150735,1.92,36,22.02493196,1.480674669,19.22826918,-304.5600477,16.35522468,-141.4925697,8.33489597,-118.8487367,7.148253865,-17.87033472,16.47813835,-11.25859025,7.63555665,-6.821156932,6.362465069,22.19533508
ASCC_21,CantatGaudin+2020,[KPR2005] 21,82.11937245,0.04963044061,3.461949748,0.03903260231,1.392913983,0.06230581601,-0.6143265294,0.04562152227,2.914586476,0.05923828019,6.949999809,1.161712138,14.99299316,16.21664326,13.9667667,2.249875529,1.246754507,1.003120851,32,18.06797028,5.469759941,33.12744699,18.625,16,30.18130493,0.1692825079,2.800082588,27.62929083,1.6,34,19.70438717,3.080405822,32.75139675,-309.0963874,7.966630744,-112.2958629,3.656649195,-98.54082117,2.695168869,-17.42686381,29.47296679,-8.466206464,10.76543597,-4.330458804,9.421224363,19.85258441
