cluster,ref,SimbadName,ra,ra_error,dec,dec_error,GLON,GLAT,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,ruwe,N_dr3,radial_velocity_error,radial_velocity_med,radial_velocity_std,rv_nb_transits,N_apogee,vhelio_avg,verr,vscatter,vhelio_avg_med,vhelio_avg_std,nvisits_apogee,N_rv_weighted,rv_weighted,rv_weighted_error,rv_weighted_med,rv_weighted_std,NF_VRAD_FLAG,N_ges,VRAD,E_VRAD,VRAD_med,VRAD_std,N_galah,rv_galah,e_rv_galah,rv_galah_med,rv_galah_std,N_rave,HRV,e_HRV,HRV_med,HRV_std,N_X,X,X_std,N_Y,Y,Y_std,N_Z,Z,Z_std,N_U,U,U_std,N_V,V,V_std,N_W,W,W_std,vx,vy,vz,age_myr,N_tot,l,b,rv_lsr,rv_lsr_m_s
OC-0406,Hao+2022,,109.9233127919361,0.0236043683413801,-24.033348743072864,0.0364679879155652,237.46425799548345,-4.919127552736272,-2.7553285394654528,0.0289562735064276,3.0732171883627872,0.0491184078413864,0.8245784575639259,0.0483539063355018,1.3807134957149112,6,10.62669563293457,34.45716094970703,12.319133513213483,40.833333333333336,0,,,,,,,6,37.23896439870199,10.626695156097412,34.457162857055664,12.319133513213444,,0,,,,,0,,,,,0,,,,,29,-651.2254260030422,30.079549087516977,29,-1020.812554793118,47.12359151744669,29,-104.21220984315993,4.855242385625552,6,-38.399691716674425,6.612032170537273,6,-18.94104125308461,10.41071078545313,6,-8.66344468497554,1.574736408731125,-27.299691716674424,-6.701041253084609,-1.4134446849755395,5.011872336272725,29,237.46423803554964,-4.919066925453896,20.378149102955167,20378.149102955165
CWNU_1046,He+2022,,97.11980631592,0.0270210341973738,-21.2472163545319,0.0441715464447483,229.7370418854436,-14.369528446283702,-5.583570742655685,0.0343883290435328,6.171629428608848,0.0505595423958518,3.0523433848733834,0.0565074248747392,2.031516104033499,13,3.932471642127404,21.94743728637696,35.18838867773459,38.15384615384615,0,,,,,,,13,30.891291086490337,3.932471776810976,21.94743728637696,35.18838867773458,,0,,,,,0,,,,,0,,,,,33,-205.2774933239204,6.791879324081596,33,-242.38577951500085,8.135717382078354,33,-81.3174579821864,4.121320449158746,13,-28.08454922256451,22.15360756219636,13,-14.032912453578234,26.215612319495225,13,-11.863294628009909,8.168993814736803,-16.98454922256451,-1.792912453578234,-4.613294628009909,35.48135450617082,33,229.73860263140537,-14.359982537552906,13.103344243890026,13103.344243890026
CWNU_1013,He+2022,,104.58948815779183,0.0350576229393482,-35.059699440864755,0.0406783744692802,245.49652685306827,-13.884349798932794,-11.901535765643793,0.0465595796704292,8.34280923182011,0.0513261929154396,4.402589340962003,0.0446513332426548,1.5208007097244265,10,9.609275817871094,14.145376205444336,4.864303583271416,20.0,0,,,,,,,10,13.151226959161502,9.518360806550447,14.145376205444336,4.816823664663636,,0,,,,,1,15.003158233947754,1.0938923066616262,15.003158233947754,0.0,0,,,,,32,-91.49506667373998,3.551827398279154,32,-200.84787747541367,7.426476203336501,32,-54.55310376881947,2.823249940925017,10,-16.343257800528185,2.400875631024045,10,-4.333242393071102,4.00719225474221,10,-11.02403781743853,1.3965400141936093,-5.243257800528186,7.906757606928898,-3.774037817438529,31.6227766016838,32,245.50864226738176,-13.88381638394257,-3.9694060088624648,-3969.4060088624647
OC-0395,Hao+2022,,104.2908674526722,0.0293980787878167,-21.27287460054565,0.0398309818685871,232.62975454290407,-8.320993962415582,-3.4864944811727727,0.0431744399136059,3.285648568697013,0.0508317032905474,1.1949750366396903,0.0553671431868043,1.2452297471973994,29,6.383511247306035,32.701271057128906,23.7676414343192,30.27586206896552,0,,,,,,,29,41.385806784577966,6.3781545368216,32.701271057128906,23.73936790395584,,0,,,,,0,,,,,1,100.609,0.679,100.609,0.0,73,-505.254555714692,37.7148479168872,73,-661.5539234351758,49.252460934985486,73,-121.7651975500621,9.401286258472725,29,-38.38093959513752,15.378396762792692,29,-20.963176586854985,18.033063617576303,29,-12.778566619471553,3.730387753915999,-27.28093959513752,-8.723176586854985,-5.528566619471553,19.952623149688787,73,232.629614935306,-8.322046458062175,24.04396620778912,24043.96620778912
CWNU_1206,He+2022,,90.80891125715128,0.0339245696862538,-24.2029835991042,0.0465826127264234,230.24598427142604,-20.8800645605295,-7.339053784166051,0.0448649724324544,8.539192744667666,0.059151291847229,4.546521573893555,0.0585403641064961,1.9624146355523004,7,3.84243392944336,16.734182357788086,43.555314701737295,32.714285714285715,0,,,,,,,7,20.779683794294083,3.8424339720181058,16.734182357788086,43.55531470173728,,0,,,,,0,,,,,0,,,,,18,-131.42181740327447,2.615384082769737,18,-158.0401518911389,4.584566711278672,18,-78.37665141392046,2.424064897531852,7,-19.886480064739285,26.11509262650906,7,-6.854968409986299,31.27456489412485,7,-10.943025113905902,15.693923376965898,-8.786480064739285,5.385031590013702,-3.693025113905902,44.66836902389504,18,230.25402688422307,-20.87250118747964,2.696292403501052,2696.292403501052
UPK_477,Sim+2019,,107.51500622342418,0.0222132467961573,-25.33252095860171,0.0312944506550883,237.62853771400145,-7.4588650755796495,-4.656416850232735,0.0287082666879171,3.6703364457105336,0.0392615559336903,1.550438098148191,0.0395553243029248,1.0792885245857655,77,4.409250234628653,26.690229415893555,12.479435174652023,29.89610389610389,0,,,,,,,77,26.61097606435999,4.409250397186775,26.690229415893555,12.479435174652023,,0,,,,,0,,,,,0,,,,,182,-345.1111948457678,32.788424668583524,182,-544.1720823524125,47.76020286412764,182,-84.20828374030962,9.349918581146916,77,-27.52084273977791,7.0367628242073605,77,-12.576142749621642,10.330835599284883,77,-11.08978706768839,1.7860129844606636,-16.42084273977791,-0.3361427496216418,-3.839787067688389,39.81070831325058,182,237.61733542185613,-7.445289336572289,9.499419259972512,9499.419259972512
UPK_473,Sim+2019,,104.24477713188068,0.0224626506401213,-24.411830755000715,0.0328268467985241,235.47696330615207,-9.721160842850797,-2.915386822405047,0.0302562808358906,3.459580613611541,0.0407485204027188,1.1536920203153271,0.0421913854333738,1.0790522493274006,195,6.6160306490384615,35.11859130859375,14.28076518808716,33.44615384615385,4,31.390953063964844,0.6653627157211304,19.571796417236328,32.03132247924805,13.098636065541347,3.5,197,34.58805343958541,6.503037948755667,35.34587860107422,14.336638930240314,,0,,,,,0,,,,,1,25.375,1.182,25.375,0.0,604,-486.1455422670906,35.19797858733994,604,-706.3325071867436,42.75848756824781,604,-147.03487320464353,16.156266094379742,197,-33.74135732517409,8.155960382897492,197,-17.230895568814653,11.596234247275715,197,-10.450307516969763,2.5130992482330408,-22.64135732517409,-4.990895568814652,-3.2003075169697635,19.952631912548657,604,235.46163620600515,-9.73025200296355,17.245007639959407,17245.007639959407
CWNU_1162,He+2022,,106.47565951534952,0.0365013009623477,-34.31721305742547,0.0421850869530125,245.45357006044216,-12.163559801781874,-10.849890396220433,0.0482665645448785,7.341232110532554,0.0535633187544973,3.866517699863414,0.0470855079199138,2.083751678466797,9,5.5230967203776045,16.82316780090332,10.039086420066566,21.55555555555556,0,,,,,,,9,19.76709832085504,5.523096604479684,16.82316780090332,10.039086420066424,,0,,,,,0,,,,,0,,,,,19,-105.0713058698423,2.792387882037112,19,-230.0687193667672,5.353725751478668,19,-54.48834108185471,2.8128939614591744,9,-19.67438839211896,4.132523577227647,9,-10.518341856377738,8.998580589406503,9,-11.730625726637406,2.775242370239744,-8.57438839211896,1.7216581436222622,-4.480625726637406,44.66836902389504,19,245.4540421993961,-12.157530357161027,2.894785825563569,2894.785825563569
CWNU_1144,He+2022,,105.38717652634163,0.0457089391805357,-51.26319245153653,0.0495716717283604,261.444069292406,-19.355011337723933,-13.02857474237178,0.0619002600847664,11.805028608982068,0.0642691385948051,5.143441674237529,0.0484639749688617,1.243144536422471,15,3.821766662597656,8.383544921875,41.48250079959077,13.466666666666669,0,,,,,,,15,2.18131295155929,3.6321917427217967,9.703381473041542,41.52232785738438,,0,,,,,1,9.743000030517578,0.270000010728836,9.743000030517578,0.0,0,,,,,59,-27.29404378205245,13.905143240406632,59,-181.2077928644449,8.715286632227315,59,-64.46108721403294,2.551972880952927,15,-13.254680331365645,6.9626330088421815,15,2.557181700308872,38.49834566246741,15,-8.065906429331063,14.622724964206402,-2.154680331365645,14.797181700308872,-0.8159064293310632,31.6227766016838,59,261.43433322673513,-19.37995151774281,-13.229574067730525,-13229.574067730522
ASCC_32,CantatGaudin+2020,[KPR2005] 32,105.67193545785582,0.0157282556806291,-26.58481373251125,0.0210149042946951,238.0272882050542,-9.497892643079505,-3.2551277633508824,0.0208552455902099,3.5057318879450734,0.0261511938912527,1.256460722997564,0.0258762305123465,1.0512386648995535,96,5.6044464111328125,33.30286407470703,10.775461521496457,28.791666666666668,0,,,,,,,96,32.21648274362087,5.604446011284987,33.3028621673584,10.775461521496387,,0,,,,,0,,,,,0,,,,,175,-416.2184751411929,16.463597326955863,175,-666.9109078228956,27.43862016341884,175,-131.55895866558853,8.785678103566186,96,-31.03338305568625,5.695649466775686,96,-17.038796153756262,9.002826074720543,96,-10.55754014079226,1.8123999590715687,-19.93338305568625,-4.798796153756262,-3.307540140792261,25.118869830988675,175,238.03175159011067,-9.500361886718991,14.97007020108492,14970.07020108492
