cluster,ref,SimbadName,ra,ra_error,dec,dec_error,GLON,GLAT,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,ruwe,N_dr3,radial_velocity_error,radial_velocity_med,radial_velocity_std,rv_nb_transits,N_apogee,vhelio_avg,verr,vscatter,vhelio_avg_med,vhelio_avg_std,nvisits_apogee,N_rv_weighted,rv_weighted,rv_weighted_error,rv_weighted_med,rv_weighted_std,NF_VRAD_FLAG,N_ges,VRAD,E_VRAD,VRAD_med,VRAD_std,N_galah,rv_galah,e_rv_galah,rv_galah_med,rv_galah_std,N_rave,HRV,e_HRV,HRV_med,HRV_std,N_X,X,X_std,N_Y,Y,Y_std,N_Z,Z,Z_std,N_U,U,U_std,N_V,V,V_std,N_W,W,W_std,vx,vy,vz,age_myr,N_tot,l,b,rv_lsr,rv_lsr_m_s,d_to_rw
Theia_97,He+2022,,101.12544772726754,0.0268597348304829,-22.20401800179237,0.0393630160131488,232.20735394108016,-11.376495095909377,-4.963305571579332,0.0359313835877116,5.656140582209318,0.0474090610110462,2.440779123466154,0.0514202660937326,1.1920592827304826,94,3.0647183682056185,22.437664031982425,15.544987476738786,34.51063829787234,4,31.728736877441406,0.4904437661170959,6.252243995666504,33.468772888183594,3.734515460624953,4.25,96,25.174400803491,2.962085373517221,22.65948667850418,15.363165479722385,,0,,,,,2,16.852464774360655,1.9553864912071497,16.852464774360655,4.533534905204773,0,,,,,281,-246.6223354316484,17.48860213582321,281,-318.0279190211073,19.289975341516907,281,-80.75584846717676,6.688945504592431,96,-25.775848025040915,9.74075002102058,96,-10.125477387472264,11.463502719505218,96,-9.183368889487491,3.599976949311821,-14.675848025040915,2.114522612527736,-1.933368889487492,39.81070831325058,281,232.20735763341864,-11.346377255794453,7.559732768435277,7559.732768435277,185.39311390394218
UPK_514,Sim+2019,,119.63506759302555,0.0399148785150968,-45.14585479364033,0.0446445712676415,259.9156958119571,-8.184942451565902,-11.447241352662378,0.0535196707798884,4.597929502243546,0.0564426825596736,3.042970683689666,0.0471845177503732,1.2081006857065053,140,4.302275303431919,11.719236373901367,11.794112308494077,16.564285714285713,0,,,,,,,140,9.953599139515845,4.30227530854089,11.719236373901367,11.794112308494077,,0,,,,,0,,,,,0,,,,,416,-57.0590869480369,12.347765562332471,416,-320.5986282133627,14.395628988934329,416,-46.764375053373655,4.936125842102415,140,-16.414950408557782,2.2828932067887013,140,-5.459733658244127,11.524712696886237,140,-12.901567209355797,1.7961035338260691,-5.314950408557783,6.7802663417558735,-5.651567209355797,44.66836902389504,416,259.9083539799513,-8.17231857032429,-4.882359350956826,-4882.359350956826,344.73373710027727
NGC_2451B,CantatGaudin+2020,NGC 2451B,116.04011352334489,0.0341241690364197,-37.8538170524923,0.0398055932817667,252.18816158613927,-6.869490050263895,-9.660714287923918,0.0455332672508963,4.798423805714183,0.0501697881378396,2.7520307618067363,0.0438688828127227,1.1030536289632755,115,4.328188158118207,14.625238418579102,12.304043193782908,18.756521739130434,0,,,,,,,133,13.79313955566295,2.8831455071371,14.863397598266602,11.609522933492393,2.5,52,15.341537475585938,0.5517307428213266,14.934999465942385,4.855417873273282,0,,,,,0,,,,,274,-110.45188340875411,5.6265700039402775,274,-343.7232636090396,10.079098978509816,274,-43.5130163324562,3.456337252984372,133,-18.42923904726985,3.5534757830305144,133,-7.154297750991313,10.98372938301488,133,-12.022878898222274,1.49969038364423,-7.32923904726985,5.085702249008687,-4.772878898222274,40.73804030443489,274,252.1857334451684,-6.872336462405149,-2.0098194813394588,-2009.819481339459,316.0493134007818
CWNU_1082,He+2022,,119.50834775768126,0.0486364266710849,-45.20795414677208,0.0538719028418069,259.92558052020024,-8.287028855925177,-11.188939413324276,0.0654564021304402,4.800312052955177,0.0685555303366032,3.0353406297566803,0.0569616587989384,1.6269488638186602,169,4.3037109375,11.984929084777832,11.122517361197284,16.59171597633136,0,,,,,,,172,11.447164124526562,4.162654305254162,11.987464427947998,11.094020012060732,2.0,5,19.14800109863281,0.7659999847412109,11.989999771118164,11.880970222985576,0,,,,,0,,,,,487,-57.19737878201713,11.131118257234736,487,-321.2978566696535,13.044695042569238,487,-47.49621834704721,5.118704372371211,172,-16.656021493339342,2.475805864169345,172,-6.989948783757754,10.913011792112956,172,-12.600682399849005,2.040652044375612,-5.556021493339342,5.250051216242246,-5.3506823998490045,31.6227766016838,487,259.9059607980415,-8.280574741230817,-3.380672166188824,-3380.672166188824,344.8390859943186
UBC_7,CantatGaudin+2020, ,106.90059373782869,0.022193153699239,-37.72939003098939,0.024774367014567,248.7815912650095,-13.2643428894678,-9.713020544484854,0.0297611395517985,7.026514803319809,0.0322960058848063,3.6017362048738484,0.0269269402821858,1.085842793782552,36,5.462998708089192,15.281442642211914,11.53636328019088,20.38888888888889,0,,,,,,,36,15.212772106538814,5.379836508347495,15.355289936065674,11.533996350304458,,0,,,,,1,16.055999755859375,0.1140000000596046,16.055999755859375,0.0,0,,,,,75,-97.81053040550071,3.191418422461964,75,-251.9680555549003,4.821570824442883,75,-63.70282493475636,1.699838470368094,36,-17.408153497643312,4.124470767079927,36,-7.172444500641193,10.465774972435756,36,-11.043987484247724,2.6532940613575966,-6.308153497643312,5.067555499358807,-3.793987484247724,31.6227766016838,75,248.7844732471345,-13.261808863192265,-1.5058789412963134,-1505.878941296313,270.89008646978607
ASCC_32,CantatGaudin+2020,[KPR2005] 32,105.67193545785582,0.0157282556806291,-26.58481373251125,0.0210149042946951,238.0272882050542,-9.497892643079505,-3.2551277633508824,0.0208552455902099,3.5057318879450734,0.0261511938912527,1.256460722997564,0.0258762305123465,1.0512386648995535,96,5.6044464111328125,33.30286407470703,10.775461521496457,28.791666666666668,0,,,,,,,96,32.21648274362087,5.604446011284987,33.3028621673584,10.775461521496387,,0,,,,,0,,,,,0,,,,,175,-416.2184751411929,16.463597326955863,175,-666.9109078228956,27.43862016341884,175,-131.55895866558853,8.785678103566186,96,-31.03338305568625,5.695649466775686,96,-17.038796153756262,9.002826074720543,96,-10.55754014079226,1.8123999590715687,-19.93338305568625,-4.798796153756262,-3.307540140792261,25.118869830988675,175,238.03175159011067,-9.500361886718991,14.97007020108492,14970.07020108492,218.97708259682778
UPK_469,Sim+2019,,107.9683391312918,0.0300795237223307,-19.480267304540515,0.0383362068849451,232.57054080769305,-4.436876614813887,-8.130461438697266,0.0418961655859853,3.7995153132968986,0.0474911811305027,2.377988579935004,0.0514045275893865,1.1144253599877452,25,3.5001785278320314,24.26199150085449,12.64764209186161,23.96,0,,,,,,,25,21.52560614161193,3.500178411006928,24.26199150085449,12.647642091861483,,0,,,,,0,,,,,0,,,,,51,-255.9288482936683,18.45284205786876,51,-334.3425486459631,22.98494614061496,51,-32.71677726076049,4.351105439586702,25,-23.79101300544928,7.664628978947578,25,-7.734970451872373,10.132638969671085,25,-12.47820112328989,1.025338755124814,-12.69101300544928,4.505029548127627,-5.228201123289891,35.48135450617082,51,232.56706472969907,-4.443098916210231,4.52931263068794,4529.31263068794,212.05362820369396
2436,Liu+2019,Collinder 135,108.95685890045472,0.0347372596546755,-36.91902542441524,0.0409097913968361,248.7313678841364,-11.44203019988234,-10.384902611633066,0.047468747122813,6.402032798529,0.0539514169854632,3.478037865855632,0.0434222665883727,1.455981367725437,26,5.016054006723257,15.629908561706545,17.612879048862403,17.5,0,,,,,,,26,15.064895008580663,12.256943036896,15.573615074157717,17.403407231424048,,0,,,,,2,15.703499794006348,0.1479999981820583,15.703499794006348,0.4334993362426758,1,18.704,18.963,18.704,0.0,59,-102.33047304767273,5.449912795984665,59,-262.96759824781776,10.684705192504744,59,-57.11932597387947,3.168586171764831,26,-17.765418454960532,6.244087551091207,26,-6.992294424851469,15.862355324867996,26,-11.819902116555612,3.472414588388258,-6.665418454960532,5.247705575148531,-4.569902116555612,32.99999999999997,59,248.73713768221975,-11.443425684681197,-1.5174442304018043,-1517.4442304018044,274.40209691217626
2288,Liu+2019,IC 2395,130.48221683896315,0.0383186129342138,-48.06097401595168,0.0425478969000082,266.53642988147834,-3.6356265606335887,-4.407018622937425,0.05182488196719,3.3246856033876195,0.0553832729305841,1.4067533338037883,0.0452469513479587,1.0291259225490874,61,7.852794209464651,24.04349899291992,23.564064236887983,15.459016393442624,0,,,,,,,61,27.87723879931403,7.85279406240729,24.04349899291992,23.56406423688798,,0,,,,,0,,,,,0,,,,,226,-42.90062580473605,3.103330488837004,226,-708.8924950247251,23.44075662155653,226,-45.121020526669845,1.9630553301647875,61,-19.707519052781244,1.7547714352653834,61,-26.355797105304536,23.48579261653933,61,-6.45895678164642,1.5151906390528531,-8.607519052781244,-14.115797105304535,0.7910432183535798,11.000000000000009,226,266.5368082897596,-3.6353314145671054,14.530421224813406,14530.421224813406,559.990251878696
CWNU_1046,He+2022,,97.11980631592,0.0270210341973738,-21.2472163545319,0.0441715464447483,229.7370418854436,-14.369528446283702,-5.583570742655685,0.0343883290435328,6.171629428608848,0.0505595423958518,3.0523433848733834,0.0565074248747392,2.031516104033499,13,3.932471642127404,21.94743728637696,35.18838867773459,38.15384615384615,0,,,,,,,13,30.891291086490337,3.932471776810976,21.94743728637696,35.18838867773458,,0,,,,,0,,,,,0,,,,,33,-205.2774933239204,6.791879324081596,33,-242.38577951500085,8.135717382078354,33,-81.3174579821864,4.121320449158746,13,-28.08454922256451,22.15360756219636,13,-14.032912453578234,26.215612319495225,13,-11.863294628009909,8.168993814736803,-16.98454922256451,-1.792912453578234,-4.613294628009909,35.48135450617082,33,229.73860263140537,-14.359982537552906,13.103344243890026,13103.344243890026,174.94241312734795
Theia_35,He+2022,,108.03792380900111,0.0354544576608909,-19.47343829496591,0.0434392398258425,232.59430895282668,-4.375663490234564,-7.9864268071100035,0.0474946948717225,3.5856315471921487,0.0532162954222481,2.405459578975199,0.0570429316106832,1.1253537591898215,21,3.549869355701265,22.498085021972656,8.826803467163352,23.80952380952381,0,,,,,,,21,21.654915196555,3.549869929041181,22.498085021972656,8.826803467163318,,0,,,,,0,,,,,0,,,,,53,-252.2198409759482,11.985542002355665,53,-329.70668446672954,12.320340161187264,53,-31.74591377512419,2.2676729848241823,21,-23.53295083396919,5.392806654696265,21,-8.12587131521068,6.959944609069125,21,-12.506096299888387,1.5655289187086527,-12.432950833969189,4.11412868478932,-5.256096299888387,35.48135450617082,53,232.58464420433305,-4.373170622328157,4.67477545965171,4674.77545965171,212.5739785006832
UPK_478,Sim+2019,,104.34231734306157,0.0297503220407586,-26.726638511775324,0.0387941661633943,237.63883906797443,-10.634361393597734,-6.047548454041243,0.0397930324525761,5.958032514555171,0.0487779746378274,2.531096472270049,0.048002691197216,1.0633019468838112,39,3.212887690617488,20.67758560180664,7.019260333253315,26.82051282051282,0,,,,,,,39,20.33085513726259,3.2128875207824583,20.67758560180664,7.019260333253273,,0,,,,,0,,,,,0,,,,,133,-208.17929685075973,11.688782606829436,133,-328.56501409973447,15.785775840375118,133,-72.97785541790186,3.686590337678878,39,-22.73650233109167,3.7818595503538273,39,-8.020120429213613,5.763177641220509,39,-9.11071094835671,1.3726577249026857,-11.636502331091672,4.219879570786388,-1.8607109483567097,44.66836902389504,133,237.64159028558868,-10.626337853569128,2.9608589768136104,2960.8589768136103,222.87695982596833
UPK_471,Sim+2019,,100.75206912238993,0.026483724987696,-22.914737196507016,0.0388265589557627,232.71816374427425,-11.999181065710912,-4.896266040657678,0.0356783059538987,5.997581776255015,0.0469330984448629,2.4745738413073592,0.0499080072635065,1.3464135064019098,144,3.266301049126519,23.644058227539062,14.818967293547074,35.84027777777778,5,33.4353271484375,0.4836312294006347,5.858662033081055,32.48826599121094,16.364647617090792,3.4,146,25.819990267110526,3.202737626046204,23.67518901824951,14.681280495687826,,0,,,,,3,35.66583264511109,1.2050856736863933,23.636180838623048,18.32670439144377,1,42.863,1.305,42.863,0.0,378,-241.5091272124708,28.397123825757564,378,-318.3744962371995,42.13313457499297,378,-84.36513438283535,12.25994888355298,146,-26.505347213426543,9.281218181811177,146,-10.558697772265102,11.13160573150606,146,-9.04720283860632,3.357187331109425,-15.405347213426545,1.681302227734898,-1.7972028386063208,44.66836902389504,378,232.81716149340988,-11.92112355940996,8.170201976656609,8170.201976656608,187.9534692051495
LP_2383,He+2022,,95.11981925120648,0.0401817089517178,-16.152271384495364,0.0478880836514969,224.1480161720879,-13.997894395187137,-5.1601486447053535,0.0517660295831321,5.076052731261756,0.057260513305664,2.7395281119890447,0.0621389339770778,1.4027428433464022,200,3.722593383789063,23.808982849121094,16.104425664598857,27.82,1,33.700050354003906,0.0990121886134147,10.19637966156006,33.700050354003906,0.0,3.0,201,23.415266636976128,3.539709120649534,23.79624123968305,16.100566721222574,,0,,,,,13,23.64595668394822,0.2455790445900966,23.83653822387696,7.855560290021146,1,23.291,1.717,23.291,0.0,542,-256.1048297537257,25.749698350553743,542,-248.18064981354613,20.041017771975337,542,-88.39749457316374,5.781149607303273,201,-23.75249562087342,11.29461613854828,201,-6.672011170485593,10.880325191293876,201,-9.785762957147222,3.924913821604224,-12.652495620873422,5.567988829514407,-2.535762957147222,35.48135450617082,542,224.09974662843211,-13.92135295713293,5.668318007004295,5668.318007004295,137.15705849946585
