cluster,ref,SimbadName,ra,ra_error,dec,dec_error,GLON,GLAT,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,ruwe,N_dr3,radial_velocity_error,radial_velocity_med,radial_velocity_std,rv_nb_transits,N_apogee,vhelio_avg,verr,vscatter,vhelio_avg_med,vhelio_avg_std,nvisits_apogee,N_rv_weighted,rv_weighted,rv_weighted_error,rv_weighted_med,rv_weighted_std,NF_VRAD_FLAG,N_ges,VRAD,E_VRAD,VRAD_med,VRAD_std,N_galah,rv_galah,e_rv_galah,rv_galah_med,rv_galah_std,N_rave,HRV,e_HRV,HRV_med,HRV_std,N_X,X,X_std,N_Y,Y,Y_std,N_Z,Z,Z_std,N_U,U,U_std,N_V,V,V_std,N_W,W,W_std,vx,vy,vz,age_myr,N_tot,l,b,rv_lsr,rv_lsr_m_s,d_to_rw
Haffner_15,CantatGaudin+2020,Cl Haffner 15,116.38242041069697,0.0288576628710772,-32.84521571142916,0.0352649527627068,247.9470418604532,-4.155940942025623,-2.15615668515526,0.0393919107076284,3.31829507574822,0.0455667295971432,0.2666895531701023,0.0415282152794502,1.0290371662861593,5,15.68792724609375,78.00617218017578,129.41282124131413,16.4,0,,,,,,,5,68.63016929626465,15.687928104400635,78.00617218017578,129.41282124131413,,0,,,,,0,,,,,0,,,,,148,-1436.3674559759947,227.30365420257485,148,-3545.60099194307,560.3992927844374,148,-278.0137411511233,44.38848483686471,5,-90.37458846388124,53.29202691721596,5,-37.01133301230471,117.86070600280456,5,-7.856527508981095,9.905531486039116,-79.27458846388124,-24.77133301230471,-0.6065275089810953,25.70394879669197,148,247.94651284742352,-4.156598169785404,52.62957456557872,52629.574565578725,2706.4796820135925
UPK_517,Sim+2019,,131.8836262169453,0.0300299217897942,-42.46562202897317,0.0339727700605691,262.76130026966325,0.6087957217145911,-12.376755779527986,0.0398787800063434,6.583553630875297,0.043154999061867,2.297732589529798,0.0384670920521445,1.0463948915487002,167,4.078234643993263,21.399642944335938,9.876243140682256,20.8622754491018,0,,,,,,,168,20.630803287738846,4.059197724929878,21.43670463562012,9.847153278052843,,1,21.700000762939453,0.8799999952316284,21.700000762939453,0.0,0,,,,,0,,,,,351,-54.85825234659083,5.315748059253104,351,-431.9045333916931,10.056352323185562,351,4.6347815393327565,3.722780569132126,168,-28.934323807426647,1.3072326309456477,168,-17.245602443662374,9.779531996740356,168,-11.048067161546944,0.4717871741711352,-17.83432380742665,-5.005602443662374,-3.798067161546944,44.66836902389504,351,262.7613504693415,0.6099194863687443,7.172037168485706,7172.0371684857055,423.2869738991691
UPK_77,Sim+2019,,282.8094847321745,0.0180736396993909,31.24022362008204,0.0217042501483644,61.27676970203322,13.718355773099043,1.144173381461344,0.0243668151753289,-4.115273620482959,0.0270289395536695,2.8226998713697062,0.0258941586528505,1.031290122440883,5,3.452566909790039,-16.63922119140625,1.6326597404247372,21.4,0,,,,,,,5,-17.05689525604248,3.452566957473755,-16.63922119140625,1.632659740424726,,0,,,,,0,,,,,0,,,,,7,166.3444369870981,11.858315922020124,7,303.588077103219,22.149456998896607,7,84.48484289706133,5.887563212657559,5,-2.6115274816330385,0.8406478095306356,5,-16.244687835145026,1.4002726889316175,5,-8.456464375391871,0.4963144310209145,8.488472518366962,-4.004687835145026,-1.206464375391871,25.118869830988675,7,61.2804271536758,13.715122610225208,0.2646583368326344,264.65833683263446,267.4111288772516
CWNU_522,He+2022,,76.1912932612255,0.0712224841117858,8.967516788880525,0.0494211273533957,191.8178464130993,-18.87252713793085,0.980085721238304,0.0911432674952915,-4.5027743733019205,0.0698548810822623,2.560760968845317,0.0815339769635881,1.59579222542899,45,5.195000203450521,18.168006896972656,13.381783006373562,14.422222222222222,14,16.65663800920759,0.1420100501605442,1.3272977556501115,18.43428611755371,11.309707413944068,3.0,57,16.270755199831203,3.802290679208153,18.168006896972656,13.02608093818527,,0,,,,,0,,,,,0,,,,,112,-362.6176217109437,19.563803885015805,112,-75.76676709494153,5.021007691250312,112,-126.52175236083352,6.106461153421641,57,-12.436664818822704,12.095938555420869,57,-10.833218336230107,2.8981824802022245,57,-8.223149414529248,4.233735371737078,-1.3366648188227046,1.4067816637698929,-0.9731494145292476,39.81070831325058,112,191.8018166278195,-18.856915067330185,1.2804301364839046,1280.4301364839046,53.70751284697701
RSG_7,CantatGaudin+2020,RSG 7,344.0243147114316,0.0444029078764073,59.47173096724506,0.0421960459035985,108.75272043429985,-0.1799113829052039,4.86067428987672,0.0565752457169925,-2.0136002777686595,0.0516868058372946,2.3526330913033178,0.046789221903857,1.2817557839786304,15,2.6302508036295573,-12.748964309692385,5.926287809276217,18.4,3,-9.72454071044922,0.3802785078684489,1.2600990136464436,-11.687169075012209,4.08119633585034,2.0,15,-9.612208761617296,2.2259382205947498,-11.68030603729165,5.981068203693495,,0,,,,,0,,,,,0,,,,,34,-136.78514884775836,6.925683267839196,34,402.8029487964935,12.159893447987889,34,-1.4057125310132137,4.545895951540529,15,-3.198949301095204,2.572682737227512,15,-11.261562174876268,5.418375024915539,15,-8.197971894874467,0.4363860861044362,7.901050698904795,0.9784378251237325,-0.9479718948744668,38.904528168399445,34,108.75662859588928,-0.1893327762515705,-1.6109578380763572,-1610.9578380763571,111.11629424806594
OC-0638,Hao+2022,,261.03481215697656,0.0248998529032657,-62.868677949667735,0.0264829146234612,328.8961368423063,-14.769083197836368,-0.3201001588255857,0.0276587009429931,-8.922515030019486,0.0335063055941933,2.071221388831985,0.0439426240168119,1.033468848780582,7,4.5497621808733255,8.880054473876953,4.308577996398835,20.857142857142858,0,,,,,,,7,11.658698831285747,4.5497623682022095,8.880054473876953,4.3085779963987445,,0,,,,,0,,,,,0,,,,,19,399.8565737589317,6.90080491752732,19,-241.247278592047,4.293588791125465,19,-123.11906926059515,2.3390102709800726,7,-1.81989048758733,3.813620427029392,7,-20.03359644731331,1.919889688630017,7,-12.394287405268372,0.9935418954149902,9.28010951241267,-7.793596447313311,-5.144287405268372,63.09573444801929,19,328.8959687994504,-14.769412727947753,12.887907274735008,12887.90727473501,712.0862920207227
UPK_510,Sim+2019,,128.55777419161748,0.0223835303976729,-39.68415454521227,0.0266590166736293,259.02725437193186,0.3325705244431797,-8.168790098896965,0.0299399543452907,5.692256940849129,0.0339404473433623,1.32280240795535,0.0301944758440997,1.0781994381466429,67,6.0531743747084885,28.33138656616211,9.29019995547515,22.16417910447761,3,24.97509256998698,0.6415980656941732,8.085369110107422,22.2610092163086,4.63734125542541,10.0,68,27.86564789597687,5.912634498209632,27.99663543701172,9.263754013194752,,0,,,,,0,,,,,0,,,,,148,-144.041313784236,7.8491508632026274,148,-742.9632332933139,25.5781402441929,148,4.389433135141863,4.969507456116219,68,-38.541671135242616,1.9163719330458195,68,-21.04890631656343,9.14723834520758,68,-10.952048201458616,0.6421428592199699,-27.44167113524261,-8.808906316563428,-3.702048201458617,79.43284091521296,148,259.0279513986683,0.3323124280009057,13.849151769656364,13849.151769656364,506.77497105207294
CWNU_200,He+2022,,96.95098922605352,0.0331724374382584,36.028747971625975,0.0299251565226802,178.0190347720301,11.192994425235767,-0.3690939512191698,0.0390394131342569,-3.6151387205171255,0.0300244159168667,0.8346371521010535,0.0382664910069218,1.1237476490162035,7,12.138785226004464,-15.672967910766602,11.192660551091883,13.0,0,,,,,,,7,-18.78020511354719,12.138785770961215,-15.672967910766602,11.192660551091794,,0,,,,,0,,,,,0,,,,,27,-1176.7202978180817,49.45172579791406,27,40.68806931170062,2.067779083678241,27,232.9884467494709,9.929872269802477,7,15.775443437851632,10.85091401127745,7,-18.068271238674026,1.5686149553243596,7,-13.91079656106089,2.82176409489817,26.87544343785163,-5.828271238674025,-6.66079656106089,35.48135450617082,27,178.01964304357614,11.193084037249104,-27.839030777302334,-27839.03077730233,897.6784946451436
CWNU_1110,He+2022,,204.22978588219388,0.0405456390645768,45.4558786688298,0.0484869082768758,99.59338706141132,69.53278693664278,9.348978754055498,0.0480522678958045,-5.044837601159828,0.0575784643491109,3.35544428863644,0.0623354779349433,2.0745137532552085,8,3.4455013275146484,-19.24212074279785,16.872419329682575,33.875,3,-20.98222096761068,0.0409743612011273,0.0,-22.35133934020996,4.257392430851416,1.0,9,-21.997228637682174,2.8437320163807067,-16.374801635742188,16.102727082056802,,0,,,,,0,,,,,0,,,,,18,-17.380171883488078,4.594557855931371,18,102.7113502690918,3.359138624482412,18,279.3670633000696,6.900627555253551,9,15.694668122279886,5.347645313936751,9,-4.730362810767262,5.690777951095615,9,-20.70090601104078,15.458064040275124,26.794668122279887,7.509637189232738,-13.45090601104078,79.43284091521296,18,99.60425570347022,69.55032909911553,-11.578162101200752,-11578.162101200753,268.33251799941513
UPK_288,Sim+2019,,43.357072979529775,0.0269810901238368,59.862559697434975,0.0344328513512244,137.70109311130915,0.5587638374191117,-0.1408348091496397,0.0448602758921109,-1.206567476668569,0.0467296792910649,1.1874327596243095,0.04755260852667,1.1844392923208384,17,6.302645066205193,-3.1896791458129883,16.111513576456026,28.41176470588235,1,7.825685024261475,0.7382627129554749,10.040520668029783,7.825685024261475,0.0,5.0,17,-5.948026698660743,6.095542135653536,-3.0231471061706543,16.444596548998675,,0,,,,,0,,,,,0,,,,,52,-623.7673257164727,27.792118988813414,52,567.7276095556753,30.102589606498626,52,8.273659419294884,6.638581948461402,17,3.3906897288402966,12.533705947249947,17,-5.025987717302329,10.69298183947176,17,-5.374992991986894,0.3925427047314613,14.490689728840296,7.214012282697671,1.8750070080131056,79.43284091521296,52,137.69281444938227,0.5620168234676486,-5.842078219661418,-5842.078219661418,571.3922551389226
