cluster,ref,SimbadName,ra,ra_error,dec,dec_error,GLON,GLAT,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,ruwe,N_dr3,radial_velocity_error,radial_velocity_med,radial_velocity_std,rv_nb_transits,N_apogee,vhelio_avg,verr,vscatter,vhelio_avg_med,vhelio_avg_std,nvisits_apogee,N_rv_weighted,rv_weighted,rv_weighted_error,rv_weighted_med,rv_weighted_std,NF_VRAD_FLAG,N_ges,VRAD,E_VRAD,VRAD_med,VRAD_std,N_galah,rv_galah,e_rv_galah,rv_galah_med,rv_galah_std,N_rave,HRV,e_HRV,HRV_med,HRV_std,N_X,X,X_std,N_Y,Y,Y_std,N_Z,Z,Z_std,N_U,U,U_std,N_V,V,V_std,N_W,W,W_std,vx,vy,vz,age_myr,N_tot,l,b,rv_lsr,rv_lsr_m_s,d_to_rw
Arg,Riedel+2017,,139.74073261366146,0.0205196579297383,-50.955230092278974,0.021553482611974,269.0196448715538,-6.881744785670149,-27.61017241200166,0.0278242866198221,18.065807372585105,0.0275845487912495,7.534067792948046,0.024157565832138,1.787255096435547,54,2.0686574865270546,14.618284225463867,14.383603474462989,17.27777777777778,1,19.41228675842285,0.1823582500219345,0.0,19.41228675842285,0.0,1.0,54,10.435179348422368,2.3608780585644364,14.41834545135498,14.230567246396292,2.0,2,14.344999313354492,0.6349999904632568,14.344999313354492,0.6550002098085231,2,11.254791339645386,0.2872565877041255,11.254791339645386,3.8722085153961183,6,15.129166666666668,3.9615,13.112,7.868759017292512,60,0.6108496892892307,74.87557544053539,60,-131.7087051161873,58.93383461852199,60,-19.769362857701267,31.27233075257886,54,-25.47326718105319,9.522698548924437,54,-15.01675378828874,4.502744433772422,54,-6.095084766460089,2.962922908224784,-14.373267181053189,-2.7767537882887403,1.1549152335399109,39.99999999999993,60,270.2657292708351,-8.536230166981248,2.5086119820449464,2508.611982044946,298.290775823575
Theia_97,He+2022,,101.12544772726754,0.0268597348304829,-22.20401800179237,0.0393630160131488,232.20735394108016,-11.376495095909377,-4.963305571579332,0.0359313835877116,5.656140582209318,0.0474090610110462,2.440779123466154,0.0514202660937326,1.1920592827304826,94,3.0647183682056185,22.437664031982425,15.544987476738786,34.51063829787234,4,31.728736877441406,0.4904437661170959,6.252243995666504,33.468772888183594,3.734515460624953,4.25,96,25.174400803491,2.962085373517221,22.65948667850418,15.363165479722385,,0,,,,,2,16.852464774360655,1.9553864912071497,16.852464774360655,4.533534905204773,0,,,,,281,-246.6223354316484,17.48860213582321,281,-318.0279190211073,19.289975341516907,281,-80.75584846717676,6.688945504592431,96,-25.775848025040915,9.74075002102058,96,-10.125477387472264,11.463502719505218,96,-9.183368889487491,3.599976949311821,-14.675848025040915,2.114522612527736,-1.933368889487492,39.81070831325058,281,232.20735763341864,-11.346377255794453,7.559732768435277,7559.732768435277,185.39311390394218
ASCC_114,CantatGaudin+2020,[KPR2005] 114,324.999965376482,0.020570858504421,53.99969208994992,0.0214278661003408,97.08832145751596,1.0264512942260573,-3.7164143447275633,0.0280645096948904,-3.473169490413736,0.0270900559979815,1.0671052908305505,0.0240580850793409,1.0182091764701429,26,9.93474872295673,-20.837322235107425,18.4523974319392,19.73076923076923,0,,,,,,,26,-21.523200658651497,9.934748998055092,-20.83732318878174,18.4523974319392,,0,,,,,0,,,,,0,,,,,129,-115.69020417018636,4.432886739112086,129,930.4003629827286,23.8073340728502,129,16.784579919937787,2.3715477461581944,26,25.245870800715544,2.408352447446975,26,-18.52632093665041,18.31212852720613,26,-1.0042646989139878,0.6832689101035077,36.345870800715545,-6.286320936650414,6.245735301086012,47.862990313698695,129,97.08803599028688,1.0256167455053562,-10.609638066695917,-10609.638066695918,227.2998622819362
UPK_621,CantatGaudin+2020, ,237.2146773501549,0.0227008522773275,-54.38713002769734,0.0192648683275495,326.95136415571113,-0.0094557799799695,-2.523418452934917,0.0319162826148831,-3.1201956177494155,0.0289848021098545,1.1178266624263904,0.0306445579139553,0.9922020581303812,10,13.046096801757812,-3.529341220855713,29.97928333570541,18.0,1,-19.986543655395508,1.0045243501663208,32.6216926574707,-19.986543655395508,0.0,2.0,11,-9.48199861158024,11.95140878720717,-5.863289833068848,28.77649657503079,,0,,,,,0,,,,,0,,,,,49,750.7090268961682,26.41450234293994,49,-488.4181801153637,17.464929102234564,49,-0.107360576158524,7.661088487400037,11,-17.108141793774823,24.248649030749093,11,-8.854060270575959,15.519032866319083,11,-3.453260186077334,0.6958059858999681,-6.008141793774824,3.3859397294240416,3.796739813922666,26.302684539632835,49,326.95160281298257,-0.0068682924054586,-6.883053867431244,-6883.053867431244,1128.405393752909
CWNU_1121,He+2022,,100.024927338846,0.042981851391676,-49.97774955800267,0.0442383056733666,259.0154938565328,-22.17946973054013,-6.402392994929762,0.0549309660748737,9.916787387122136,0.0551651338251625,2.0946350913675413,0.0437179745697393,1.4021912551507718,17,3.592933879179113,19.350934982299805,17.929580095360276,17.823529411764707,2,5.640973091125488,0.6857943534851074,11.12380027770996,5.640973091125488,4.229023158550266,19.5,18,14.768414069801272,3.108243182159673,19.69688606262207,17.786011195455902,,0,,,,,1,20.98182449674225,1.5338759132103683,20.98182449674225,0.0,0,,,,,41,-84.44867338683807,7.0982998329009215,41,-434.6164779497328,17.110065854538785,41,-180.45832680484048,6.434692100712836,18,-27.357412940231,4.112799713374249,18,-5.650423486545147,16.44942275911296,18,-12.605073227216703,6.205475814233256,-16.257412940231,6.589576513454853,-5.355073227216703,50.11870135142811,41,259.00409197232096,-22.17530957554513,-1.0973522030118747,-1097.3522030118747,367.3024950176399
Theia_58,He+2022,,120.504244502512,0.0458366934458414,-31.122723382140613,0.0567478879292806,248.26632596863035,-0.2735446529114541,-8.912594291953518,0.0614235750834147,5.535214079377095,0.0740167045593261,2.034276008130991,0.0686999575297037,1.6964671834309897,61,3.74341070456583,28.05764389038086,12.785958681020176,22.901639344262296,0,,,,,,,61,29.05852129029446,3.743410557019906,28.05764389038086,12.785958681020167,,0,,,,,0,,,,,0,,,,,150,-182.36617476848045,10.086179222846766,150,-457.413555591946,19.65083531359809,150,-2.3849704139951178,4.231865909481134,61,-31.29525169317289,5.440815150106159,61,-18.761938730581345,11.651527870458418,61,-10.789367547547876,1.570761690941062,-20.19525169317289,-6.521938730581345,-3.539367547547876,31.6227766016838,150,248.263328304122,-0.2774981978894625,13.554321334137464,13554.321334137465,339.0657977350976
Platais_8,CantatGaudin+2020,Cl Platais 8,136.84405158304298,0.0385068513770804,-58.37327605304773,0.0392802496092014,276.9200535104599,-7.397614108786689,-15.67331700733726,0.0522988215441952,14.604597753973476,0.0495511547649076,7.440814597698055,0.0418101938979885,1.3060981063481192,91,4.624904087611607,21.25140953063965,14.427406332548074,18.87912087912088,0,,,,,,,92,20.530341810091013,4.534003639944615,21.397582054138184,14.760530656723368,3.0,1,50.709999084472656,0.3199999928474426,50.709999084472656,0.0,0,,,,,1,5.92,2.067,5.92,0.0,211,16.126070155282363,6.926859785379696,211,-132.26249792589803,4.745112871498624,211,-17.336756310294668,3.725878246659426,92,-11.257895149864869,1.654459163359448,92,-21.600011265978964,14.55610338331205,92,-3.872899126377714,1.8386101931337555,-0.1578951498648688,-9.360011265978963,3.377100873622286,30.19951853033241,211,276.9514623116049,-7.413382821722214,8.758853437713796,8758.853437713797,312.30367212213827
UPK_514,Sim+2019,,119.63506759302555,0.0399148785150968,-45.14585479364033,0.0446445712676415,259.9156958119571,-8.184942451565902,-11.447241352662378,0.0535196707798884,4.597929502243546,0.0564426825596736,3.042970683689666,0.0471845177503732,1.2081006857065053,140,4.302275303431919,11.719236373901367,11.794112308494077,16.564285714285713,0,,,,,,,140,9.953599139515845,4.30227530854089,11.719236373901367,11.794112308494077,,0,,,,,0,,,,,0,,,,,416,-57.0590869480369,12.347765562332471,416,-320.5986282133627,14.395628988934329,416,-46.764375053373655,4.936125842102415,140,-16.414950408557782,2.2828932067887013,140,-5.459733658244127,11.524712696886237,140,-12.901567209355797,1.7961035338260691,-5.314950408557783,6.7802663417558735,-5.651567209355797,44.66836902389504,416,259.9083539799513,-8.17231857032429,-4.882359350956826,-4882.359350956826,344.73373710027727
NGC_7082,CantatGaudin+2020,NGC 7082,322.18261852920267,0.0243374978229676,47.09427869435652,0.0248455093020484,91.1081132840579,-2.863089885254763,-0.2907105958040215,0.0321547574612683,-1.1789634130487718,0.0307761426373715,0.7327935321735132,0.0298843209123436,0.9996994074447688,35,12.245425851004464,-11.947908401489258,17.179729690333236,17.65714285714286,0,,,,,,,35,-11.87143440246582,12.245426788926125,-11.947908401489258,17.179729690333225,,0,,,,,0,,,,,0,,,,,273,-26.40982440783197,5.303079872583091,273,1366.406321201308,71.99626089217354,273,-68.34070044266294,5.007560824526815,35,7.203499064980073,0.6287610078080126,35,-11.945525435985047,17.14417159371278,35,-3.921191885200926,1.3097939203555682,18.30349906498008,0.2944745640149531,3.328808114799074,61.65949477018448,273,91.1072717317979,-2.8627240728192014,-0.2254606266492946,-225.46062664929468,298.5246123186628
2432,Liu+2019,IC 4665,266.4378861268407,0.0381413541342082,5.661692533614994,0.0377867786507857,30.503734061676884,17.178928831437844,-0.8935722161467244,0.0452182198825635,-8.596738331796908,0.0419878081271522,2.9100920051655965,0.0476677856947246,1.0551945535760177,38,4.295143528988487,-14.851147651672363,23.364355446498323,19.0,0,,,,,,,38,-17.372955247857853,4.295143524282857,-14.851147651672363,23.36435544649828,,0,,,,,0,,,,,0,,,,,76,282.9821824844077,6.148424439011394,76,166.70954133703336,3.669483501975006,76,101.53219786537475,2.5408614434610546,38,-6.351284075001982,19.35497334761065,38,-19.040603029236102,11.26029749559462,38,-9.82880756527209,6.750032366872463,4.7487159249980175,-6.800603029236102,-2.57880756527209,32.99999999999997,76,30.503050863204045,17.178331736506905,-0.1505511997010771,-150.5511997010771,428.16913574920835
