cluster,ref,SimbadName,ra,ra_error,dec,dec_error,GLON,GLAT,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,ruwe,N_dr3,radial_velocity_error,radial_velocity_med,radial_velocity_std,rv_nb_transits,N_apogee,vhelio_avg,verr,vscatter,vhelio_avg_med,vhelio_avg_std,nvisits_apogee,N_rv_weighted,rv_weighted,rv_weighted_error,rv_weighted_med,rv_weighted_std,NF_VRAD_FLAG,N_ges,VRAD,E_VRAD,VRAD_med,VRAD_std,N_galah,rv_galah,e_rv_galah,rv_galah_med,rv_galah_std,N_rave,HRV,e_HRV,HRV_med,HRV_std,N_X,X,X_std,N_Y,Y,Y_std,N_Z,Z,Z_std,N_U,U,U_std,N_V,V,V_std,N_W,W,W_std,vx,vy,vz,age_myr,N_tot,l,b,rv_lsr,rv_lsr_m_s,d_to_rw
NGC_7039,CantatGaudin+2020,NGC 7039,317.6586512523459,0.0365521930512927,45.60289644601101,0.039240178607759,87.84955615100154,-1.693214269001751,-0.2788918411540648,0.0506979124886649,-2.6079686024173903,0.0493971824645996,1.3145959995559875,0.0459653082348051,1.0285494123186385,33,7.792186390269887,-7.059403896331787,15.069193596057378,17.303030303030305,0,,,,,,,33,-5.874598828229037,7.792186802083796,-7.059403896331787,15.069193596057376,,0,,,,,0,,,,,0,,,,,105,28.59146589989183,2.1582805152926063,105,761.3722268197621,34.742721085796525,105,-22.52095591792197,2.1371343101269007,33,7.58689960051926,1.1738958222934714,33,-6.33873990791931,15.041377328673516,33,-5.589881891654407,1.055098492628522,18.68689960051926,5.90126009208069,1.6601181083455927,21.877623926123007,105,87.84940811665817,-1.6930897620833685,6.546419947858506,6546.419947858506,30.449624854589004
OC-0347,Hao+2022,,84.14092051499743,0.0485405305926309,-6.60043669672578,0.0446219238938327,210.3110801284079,-19.641453116323525,0.8493536204432095,0.0618864771281703,0.1580007489885103,0.0528623772580087,2.5904440817993684,0.0644886710427024,1.3861831592030502,48,5.751070022583008,22.435922622680664,41.39912278786092,21.83333333333333,117,17.975360576923077,0.1301925626851744,0.5719021942655919,24.98721694946289,75.36773940279724,2.864406779661017,124,18.2270790679825,0.2253211584309634,24.8294095993042,73.22101658296374,,0,,,,,0,,,,,0,,,,,209,-314.41482741544723,13.24207360272018,209,-183.8139539954714,7.912895408930399,209,-129.98455990334242,5.590908211792221,124,-14.9805807803487,59.70395649858421,124,-9.32031319165541,34.74290465552987,124,-4.80765200064297,24.343549446917915,-3.8805807803487,2.91968680834459,2.44234799935703,3.9810717055349696,209,210.31151319997304,-19.64152426008205,0.9463701360509856,946.3701360509856,43.64707763980265
NGC_1980,CantatGaudin+2020,NGC 1980,83.79734703474563,0.0280561712053087,-5.934478526940804,0.025201766918867,209.51657695394007,-19.648562106179515,1.2223662949730294,0.0363149479923085,0.5840561578257064,0.031242757780939,2.6111682926968256,0.0396708300989917,1.1088538536658654,43,5.886812431867733,24.063289642333984,26.832200970173297,22.302325581395348,67,27.097667181669777,0.1252135669483858,1.678115171544692,26.79939651489257,4.675385954932469,2.9411764705882355,77,26.857185883381348,0.70632480273857,26.796229088666703,5.041913225567743,,0,,,,,0,,,,,0,,,,,117,-313.9395312048068,5.117973836143581,117,-177.73615393878643,2.8751229594692496,117,-128.80524755452325,2.189725509215857,77,-22.70842492971216,4.140852035504589,77,-12.902645438798425,2.3372726597460365,77,-6.720924202090946,1.7651588528540094,-11.60842492971216,-0.6626454387984246,0.5290757979090541,13.182563911826833,117,209.51627142153876,-19.64849910684003,9.643192899347747,9643.192899347749,41.029923894366554
LP_2371,He+2022,,82.87173474268567,0.0629449598860032,2.146342585506852,0.0517885831323,201.5515012990259,-16.668883935591047,-0.783102402584383,0.077918258515915,0.8057156529423378,0.0603236056790493,2.575263408422744,0.0756305807887917,1.4708919109684406,162,4.824578179253472,28.90219497680664,17.527797371378025,20.234567901234566,49,32.42579121492347,0.146763149060701,1.0347103988915158,30.8789005279541,8.47468179015593,1.9824561403508767,184,27.8789717526148,2.7955374226859893,29.967788696289062,13.77971855344574,21.0,13,29.529998779296875,0.4199999662546011,28.96999931335449,1.285002624135256,43,28.60142016181094,0.7439621172868538,30.0310001373291,9.112897696738486,0,,,,,505,-347.72832597767325,27.560415705088072,505,-136.99165667840694,10.03039648785743,505,-111.53235801031448,6.145139862173447,184,-25.48832338978333,12.311689979785848,184,-7.7475923447575425,4.9924174985921095,184,-8.56877998780209,4.125982965562917,-14.388323389783327,4.492407655242458,-1.31877998780209,14.125378548042052,505,201.5025426969999,-16.61627116964698,11.62711878457414,11627.11878457414,17.954757228611083
499,Liu+2019,NGC 6913,305.8756437078419,0.0210405432659646,38.48891497595587,0.0244461557139521,76.83898271420556,0.6541634308381354,-3.32520350039873,0.0281697995420815,-5.75212808198443,0.0315582579460696,0.5615412132376069,0.028053689694059,1.0258587823397871,12,14.01083501180013,-5.444977283477783,60.01129085761354,23.58333333333333,24,-30.074801127115887,2.307161002323545,15.951473893790409,-30.225566864013672,48.91011107167048,1.7241379310344829,31,-19.76242014841102,5.5990331703117455,-24.433557359773435,56.39624742306611,,0,,,,,0,,,,,0,,,,,138,406.7045372994923,22.99235699227144,138,1739.3841000979237,98.56670172249204,138,20.39577785160597,2.9658000864054563,31,50.589271636983845,12.681254714095113,31,-32.01258885450445,55.05327086868717,31,-5.159559693989756,2.168627462602598,61.68927163698385,-19.77258885450445,2.090440306010244,4.999999999999999,138,76.83948177307725,0.6541687229511585,-5.183666389118155,-5183.666389118155,106.29112018575029
CMa06,Santos-Silva+2021,,106.15715525928546,0.0420442001981885,-11.377035594995114,0.0453111239128712,224.5530446497064,-2.2786335043914594,-4.174246096641629,0.0522886046564391,1.551334621417363,0.054206139130118,0.8629558218819314,0.051995517071629,1.037612036260635,56,11.003385271344866,23.338668823242188,30.030331082218908,11.803571428571429,0,,,,,,,56,17.945255194391525,11.00338579927172,23.33866786956787,30.0303310822189,,0,,,,,0,,,,,0,,,,,382,-828.4051454364381,52.82641878417491,382,-815.5964052678933,52.29357111507736,382,-46.27648158635152,6.581398857126714,56,-25.064494202653616,21.368422150280544,56,0.8137043861077876,21.13246907458416,56,-16.944790798685567,2.1568214007348896,-13.964494202653617,13.053704386107787,-9.694790798685569,9.000000000000007,382,224.5536063192185,-2.279572038732507,1.177838605161154,1177.838605161154,25.816281086119528
CWNU_1090,He+2022,,180.15581811998229,0.0359815885038936,79.61689874970637,0.036240304217619,120.55528096675036,17.11790160666341,22.78616705304088,0.0465009142370785,0.1994420144712176,0.0475638508796691,6.5116524383342975,0.0388969428399029,1.4827889835133272,36,5.063324822319879,-8.983914375305176,10.60095318801198,15.63888888888889,4,-6.576966285705566,0.1296592652797699,1.7994701862335205,-8.072132110595703,3.4595843823148926,4.0,36,-10.367154479056866,4.6717474155586,-8.714198112487793,8.866295814451435,,0,,,,,0,,,,,0,,,,,68,-74.55861813043607,3.887418194924287,68,126.36005295918834,4.001011816371225,68,45.22682897820984,3.24835342883788,36,-9.46509833893836,4.288178768780467,36,-16.072281929558255,7.34377373214493,36,-5.927432912184318,2.71279346054744,1.6349016610616405,-3.8322819295582544,1.322567087815682,17.78279410038923,68,120.54268576030604,17.132393113563182,-3.5584544596913013,-3558.454459691301,119.48913144244568
L1251,Szilagyi+2021,,340.9239352487617,0.0464508391138333,75.27962441938006,0.0468420057154413,114.9558369858766,14.429595487002835,7.241477396089338,0.0603955895153444,0.6343090018830111,0.0594883320936516,2.911905107697828,0.0503979298605847,1.0551589282590952,12,6.364929835001628,-49.7271614074707,39.29017185578603,15.333333333333334,0,,,,,,,12,-46.82666238149008,6.364930013815562,-49.7271614074707,39.29017185578597,,0,,,,,0,,,,,0,,,,,67,-140.36106033703442,3.016305116531879,67,301.6469327922282,6.396258078550839,67,85.61411523170315,2.519288072999607,12,8.901258003183715,16.34841379765359,12,-44.623633376394594,34.34853899263332,12,-16.236032879282863,9.863373372075085,20.001258003183715,-32.38363337639459,-8.986032879282863,3.000000000000001,67,114.95329937520744,14.43072318656073,-38.845640902630144,-38845.64090263014,22.689622349467836
CWNU_1055,He+2022,,328.47983789565234,0.0409776693896243,65.59450669563738,0.0409371037232248,105.93097796811264,8.768412958146408,5.746906396221538,0.0545992600290398,-0.1984119144599958,0.0497832266907942,2.1920305029510314,0.0449694771515695,1.3560131474545127,14,4.084473201206753,-12.871925354003906,6.9352093478129415,18.142857142857142,0,,,,,,,14,-13.01146867445537,4.084473422595432,-12.871924877166748,6.935209347812916,,0,,,,,0,,,,,0,,,,,38,-123.93758863444168,5.57144638144946,38,434.16361672754846,16.45121226834031,38,69.62556360785813,3.190688903520568,14,-5.87826939476706,2.070260832022889,14,-13.743522928883689,6.584888643572875,14,-10.125769120415717,1.0430957812973656,5.221730605232939,-1.5035229288836884,-2.8757691204157165,14.125378548042052,38,105.93207671107903,8.766361007476888,-3.283771341215964,-3283.771341215964,55.34773593758924
UPK_428,Sim+2019,,90.6927372941006,0.0456054961844666,-9.760211556327912,0.047760300440331,216.26859519440555,-15.197922984386354,-1.936343975303249,0.053239348816545,1.6305560415767393,0.0508062970148373,1.207004462821773,0.0583754108376698,1.113752600264876,15,8.765810139973958,36.37917709350586,19.802401355234306,28.2,0,,,,,,,15,36.94985294342041,8.765809456507364,36.37917709350586,19.8024013552343,,0,,,,,0,,,,,0,,,,,73,-646.1959579977499,32.384731712435524,73,-474.1527499647176,24.468035107766127,73,-217.64810440421184,10.831210249235134,15,-33.021105647315395,15.341430973297374,15,-13.763162249069428,11.434377627796325,15,-13.162488134460444,5.25708879222235,-21.9211056473154,-1.5231622490694274,-5.912488134460444,11.22018947073786,73,216.2697318184493,-15.192506533351926,19.47504603924248,19475.04603924248,114.66111951396266
