cluster,ref,SimbadName,ra,ra_error,dec,dec_error,GLON,GLAT,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,ruwe,N_dr3,radial_velocity_error,radial_velocity_med,radial_velocity_std,rv_nb_transits,N_apogee,vhelio_avg,verr,vscatter,vhelio_avg_med,vhelio_avg_std,nvisits_apogee,N_rv_weighted,rv_weighted,rv_weighted_error,rv_weighted_med,rv_weighted_std,NF_VRAD_FLAG,N_ges,VRAD,E_VRAD,VRAD_med,VRAD_std,N_galah,rv_galah,e_rv_galah,rv_galah_med,rv_galah_std,N_rave,HRV,e_HRV,HRV_med,HRV_std,N_X,X,X_std,N_Y,Y,Y_std,N_Z,Z,Z_std,N_U,U,U_std,N_V,V,V_std,N_W,W,W_std,vx,vy,vz,age_myr,N_tot,l,b,rv_lsr,rv_lsr_m_s,d_to_rw
UPK_573,Sim+2019,,167.31213118666673,0.0428967640317719,-76.90547858640312,0.0434202079115242,297.1223755651602,-15.203344179062396,-22.466802124487263,0.0558683502263036,0.2113643293170439,0.0544152999746388,5.249003113115467,0.0473282378295372,1.6622878765237743,33,6.297612045750474,14.003217697143556,19.52907229042174,16.606060606060606,0,,,,,,,33,15.908242511026788,6.297612332033388,14.003217697143556,19.52907229042173,,0,,,,,0,,,,,0,,,,,116,83.83788603469358,1.7425386870384394,116,-163.7015123607437,3.9822122436210448,116,-49.97236076590435,1.9876432547584884,33,-10.50247848360374,8.358116071299916,33,-20.339715635883472,16.894832813835343,33,-11.66020302930876,5.116985510999271,0.5975215163962595,-8.099715635883472,-4.410203029308761,7.079456289251887,116,297.1187441914597,-15.200609220208262,8.376233054425912,8376.233054425911,386.41714231660353
CWNU_1226,He+2022,,231.5672905066056,0.0547345701385946,-36.64112684428049,0.0430438658770392,334.50079284255617,16.555852876331702,-24.080607192318084,0.0731163936502793,-29.231316914039613,0.0605670424068675,8.437617899128206,0.0655633070889641,1.5782741097842945,18,6.55353503757053,-5.615899085998535,16.16208562376295,12.5,0,,,,,,,18,-10.24951829512914,6.553535342216492,-5.615899085998535,16.162085623762938,,0,,,,,0,,,,,0,,,,,34,102.50650470752052,1.7806166738514702,34,-48.899250994059976,2.56894978098899,34,33.7791386084146,2.666800914916342,18,-16.230469687168117,13.952134319806548,18,-14.715925725057986,6.861242637774257,18,-8.239004865321418,4.981921037997865,-5.130469687168118,-2.4759257250579854,-0.9890048653214176,17.78279410038923,34,334.4971967761528,16.563714051534102,-3.698585175207861,-3698.585175207861,352.8043519616039
epsCHA,Gagne+2018,,181.5180061366184,0.0276890229433774,-77.07942524821509,0.026990694925189,300.5141352775854,-14.470553584500054,-40.9289800792905,0.0355434343218803,-6.985112366141949,0.0357854440808296,9.860412467421614,0.0313972420990467,1.8330703973770144,21,2.70755368187314,13.283652305603027,4.537102175688448,14.571428571428571,0,,,,,,,21,12.12320683812783,2.708921036098028,13.283652305603027,4.555618837170358,,0,,,,,0,,,,,5,9.4858,3.9354,12.845,7.009719349588826,32,49.825169871922654,2.2499186306026098,32,-84.5433371842975,2.730756534810335,32,-25.372393306106616,5.006826122363639,21,-11.002756925361346,2.281782110555772,21,-18.24334428001248,3.697971838996055,21,-9.676924749434766,1.819572741780268,0.0972430746386532,-6.003344280012479,-2.4269247494347663,5.500000000000004,32,300.5127469661778,-14.496401295065745,5.66262730294704,5662.62730294704,321.1418001583821
UPK_519,Sim+2019,,120.65428599685532,0.039963132062835,-48.66291317356568,0.0448678405830143,263.3439408148918,-9.36547924520629,-5.536845935895731,0.0534344916921025,8.320915978863129,0.0564078172760694,2.5304789071824505,0.0462721409819051,1.1141580487580578,114,6.482507538377193,19.75345993041992,27.9716419778229,16.93859649122807,0,,,,,,,129,15.736413172578708,5.50545123234219,20.0,26.397995320475506,,16,21.488750457763672,0.668749988079071,20.38999938964844,3.4101191457873887,1,20.93899917602539,0.1309999972581863,20.93899917602539,0.0,1,18.839,2.381,18.839,0.0,446,-45.28481432703279,5.949917630316701,446,-387.90227583783553,16.39718966372032,446,-64.53976320099697,8.268100597948017,129,-20.37032755815907,3.097814590988611,129,-13.118028664481663,25.850994688025075,129,-3.4597503825145366,4.433181915474119,-9.27032755815907,-0.8780286644816631,3.790249617485464,19.952631912548657,446,263.34126904181835,-9.383839910081148,1.3030033673697972,1303.0033673697972,386.78917429954
UPK_504,Sim+2019,,123.0881020988997,0.0338122977150811,-38.65212676029124,0.0391084882948133,255.75071515973912,-2.549509411638295,-4.391792432760438,0.0454027851422627,5.039646766474388,0.0525849494669172,1.701403129847797,0.043885933028327,1.0723303688897028,10,6.356898498535156,24.754329681396484,15.920996675271374,22.7,0,,,,,,,10,23.18537378311157,6.3568981170654295,24.754328727722168,15.920996675271358,,0,,,,,0,,,,,0,,,,,36,-144.70745481042889,5.33517679360307,36,-569.7956496477395,19.82735556616286,36,-26.178167246727792,2.140050025860252,10,-23.721934823022128,3.9774250323168414,10,-17.781885859898274,15.420855260077364,10,-3.3148668573426283,0.5540792757639669,-12.621934823022128,-5.541885859898274,3.935133142657372,8.912505467113453,36,255.75020831787663,-2.549667767622059,8.294809169354844,8294.809169354843,411.7491487284062
CWNU_1083,He+2022,,125.5030313187885,0.0483089916369053,-41.8141461744728,0.0559517126432888,259.42094182274536,-2.784122106832668,-7.185513834147788,0.0648827078454781,10.008570106440382,0.0723152659950456,2.9294849590958423,0.0615537004321033,1.589300664931692,96,4.910605748494466,16.752513885498047,30.241877189555247,19.322916666666668,0,,,,,,,96,15.380558466849228,4.910606256065269,16.752514839172363,30.24187718955524,,0,,,,,0,,,,,0,,,,,382,-62.70068258520888,7.732235874990446,382,-335.34827093992936,11.069631877788948,382,-16.587956198618865,8.948570658966917,96,-22.610889923445075,6.080527703434607,96,-11.32933058729506,29.59944743663153,96,-1.6317158855922838,2.9435341514997773,-11.510889923445076,0.9106694127049408,5.618284114407716,7.943284091521296,382,259.4095812247213,-2.783659349946457,0.9461030184815304,946.1030184815304,356.4914655957707
CWNU_1136,He+2022,,187.8765289078457,0.0294494348000707,-60.24400058566098,0.0316696307444958,300.42887425459867,2.4129225913164505,-36.12090111037722,0.0386481980336432,-12.302467877197476,0.042706378605299,9.196924381766523,0.043353040018208,1.6773338261689985,347,5.081846561486851,12.473214149475098,17.384772433240517,18.93659942363112,0,,,,,,,347,12.454751255770017,5.102233549346806,12.439488410949709,17.387006756099538,,0,,,,,0,,,,,8,9.4905,3.5661249999999995,11.3025,6.409160065874467,679,54.8697463954228,5.487571429897961,679,-93.33826998171595,4.037727867852583,679,4.782125074142173,9.15647883425618,347,-9.18302551378849,9.063325790803995,347,-20.18463085487292,14.769955760883906,347,-7.229973451510746,1.5679002696539757,1.91697448621151,-7.944630854872917,0.0200265484892536,14.125378548042052,679,300.4495266346251,2.528990315281994,7.813624526174247,7813.624526174247,329.3889327804135
Upper_Sco,He+2022,,234.5080791590428,0.0589550394308009,-31.47633245603,0.0424547526418252,340.3082153322104,17.572991947336632,-15.455258000268085,0.0796679876734404,-23.22967190578488,0.0615743189595022,7.034903083680041,0.0682230132534127,1.656152727867596,1921,5.459456642861791,-2.173725843429565,32.04175719736828,15.429463820926602,966,-4.923695187144151,0.1372548200952725,0.4762276176392562,-5.279168128967285,9.464887656386953,1.190944881889764,2449,-2.626834081593952,3.244746446943489,-3.4309797286987305,26.73949540374317,2.0,43,-6.234651077625363,0.5004651269247365,-6.550000190734863,2.018844119646007,80,-0.8522700680014965,0.5248234997055549,-2.378332354148865,13.250765807336496,38,2.865921052631579,5.053210526315789,4.2675,17.956514062680455,4322,124.33094923118092,17.6802670221009,4322,-43.76725040101043,28.571295875805976,4322,43.06244600804981,9.669110267995478,2449,-6.354874014185194,23.18611832154585,2449,-17.288819054441507,9.635087243219507,2449,-6.843151162684579,8.185272426904405,4.745125985814806,-5.048819054441507,0.4068488373154206,17.78279410038923,4322,340.6068013468245,18.09231970249344,5.974511507839672,5974.511507839672,370.3439227898366
OC-0579,Hao+2022,,167.04627397378744,0.0565803630931957,-77.58833457853875,0.0584224172540613,297.3489307614224,-15.850376617213492,-22.974874459825468,0.0741101020091288,0.7156208383000351,0.0708055045153643,5.2953746594260425,0.0630316541001603,1.5223742304621517,9,6.727566189236111,14.701252937316896,24.823538003355324,16.77777777777778,0,,,,,,,10,18.327236631352683,5.71804280480467,14.312047004699709,23.51905046478862,2.0,2,13.885000228881836,0.5199999809265137,13.885000228881836,2.364999771118164,0,,,,,0,,,,,37,83.49169418920064,1.6966129810507056,37,-161.42248387364026,3.201711942051658,37,-51.60100652667384,1.165420465075076,10,-9.73192544276267,10.406208324730889,10,-22.77016977735539,20.11392779817115,10,-11.578908110671303,6.386255739631594,1.36807455723733,-10.530169777355392,-4.328908110671303,1.584893192461114,37,297.34912138058866,-15.851015884968303,10.784488911569207,10784.48891156921,385.15157997482993
Theia_31,He+2022,,126.85640854224116,0.0350956472299866,-34.97055593624235,0.0432243387577897,254.4223552704758,2.020241332832048,-6.968882610557763,0.0472143504579188,10.912057096019293,0.0569017862869521,2.805403669158047,0.051561363672806,1.1822032605187367,31,6.661087528351815,17.31730842590332,36.148454228027,20.32258064516129,1,15.810686111450195,0.7061185836791992,2.73123550415039,15.810686111450195,0.0,3.0,32,7.833134151995182,6.47499493509531,16.563997268676758,35.60799037650879,,0,,,,,0,,,,,0,,,,,118,-95.69350598324093,4.062807707709224,118,-343.2359159218532,6.650545135103881,118,12.582686072400568,4.074300872200041,32,-23.00629509660136,9.694913914962966,32,-1.633284803000195,34.28947410443262,32,1.4338774308706754,1.68567554157901,-11.90629509660136,10.606715196999804,8.683877430870675,7.079456289251887,118,254.42163318773413,2.0224053013988432,-6.7087295026933615,-6708.729502693362,347.01399596881674
