cluster,ref,SimbadName,ra,ra_error,dec,dec_error,GLON,GLAT,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,ruwe,N_dr3,radial_velocity_error,radial_velocity_med,radial_velocity_std,rv_nb_transits,N_apogee,vhelio_avg,verr,vscatter,vhelio_avg_med,vhelio_avg_std,nvisits_apogee,N_rv_weighted,rv_weighted,rv_weighted_error,rv_weighted_med,rv_weighted_std,NF_VRAD_FLAG,N_ges,VRAD,E_VRAD,VRAD_med,VRAD_std,N_galah,rv_galah,e_rv_galah,rv_galah_med,rv_galah_std,N_rave,HRV,e_HRV,HRV_med,HRV_std,N_X,X,X_std,N_Y,Y,Y_std,N_Z,Z,Z_std,N_U,U,U_std,N_V,V,V_std,N_W,W,W_std,vx,vy,vz,age_myr,N_tot,l,b,rv_lsr,rv_lsr_m_s,d_to_rw
Czernik_41,CantatGaudin+2020,Cl Czernik 41,297.7546574822753,0.0210818422716216,25.28776505072977,0.0335684415310789,62.02216693121618,-0.6915510175036399,-2.932480234196324,0.0301585520728159,-6.160255067085245,0.0436427040962176,0.3775862004212182,0.0444361395755056,1.0186126191737288,12,5.171468416849772,7.9431657791137695,112.45420389210234,26.5,0,,,,,,,12,6.657578984896342,5.171468486388524,7.943166017532349,112.45420389210234,,0,,,,,0,,,,,0,,,,,177,1263.1086276859623,164.50979754279766,177,2377.5954853476096,308.33997902313695,177,-32.481838347912536,5.491849178863386,12,81.46542709341213,53.99215751694145,12,-35.89338407957883,99.03551069945384,12,-8.53328488710814,1.908565172219828,92.56542709341213,-23.653384079578828,-1.28328488710814,12.88249947737535,177,62.02031838716663,-0.6912274491856977,22.553055565667297,22553.05556566729,1166.8242775275135
NGC_7039,CantatGaudin+2020,NGC 7039,317.6586512523459,0.0365521930512927,45.60289644601101,0.039240178607759,87.84955615100154,-1.693214269001751,-0.2788918411540648,0.0506979124886649,-2.6079686024173903,0.0493971824645996,1.3145959995559875,0.0459653082348051,1.0285494123186385,33,7.792186390269887,-7.059403896331787,15.069193596057378,17.303030303030305,0,,,,,,,33,-5.874598828229037,7.792186802083796,-7.059403896331787,15.069193596057376,,0,,,,,0,,,,,0,,,,,105,28.59146589989183,2.1582805152926063,105,761.3722268197621,34.742721085796525,105,-22.52095591792197,2.1371343101269007,33,7.58689960051926,1.1738958222934714,33,-6.33873990791931,15.041377328673516,33,-5.589881891654407,1.055098492628522,18.68689960051926,5.90126009208069,1.6601181083455927,21.877623926123007,105,87.84940811665817,-1.6930897620833685,6.546419947858506,6546.419947858506,30.449624854589004
OC-0347,Hao+2022,,84.14092051499743,0.0485405305926309,-6.60043669672578,0.0446219238938327,210.3110801284079,-19.641453116323525,0.8493536204432095,0.0618864771281703,0.1580007489885103,0.0528623772580087,2.5904440817993684,0.0644886710427024,1.3861831592030502,48,5.751070022583008,22.435922622680664,41.39912278786092,21.83333333333333,117,17.975360576923077,0.1301925626851744,0.5719021942655919,24.98721694946289,75.36773940279724,2.864406779661017,124,18.2270790679825,0.2253211584309634,24.8294095993042,73.22101658296374,,0,,,,,0,,,,,0,,,,,209,-314.41482741544723,13.24207360272018,209,-183.8139539954714,7.912895408930399,209,-129.98455990334242,5.590908211792221,124,-14.9805807803487,59.70395649858421,124,-9.32031319165541,34.74290465552987,124,-4.80765200064297,24.343549446917915,-3.8805807803487,2.91968680834459,2.44234799935703,3.9810717055349696,209,210.31151319997304,-19.64152426008205,0.9463701360509856,946.3701360509856,43.64707763980265
NGC_1980,CantatGaudin+2020,NGC 1980,83.79734703474563,0.0280561712053087,-5.934478526940804,0.025201766918867,209.51657695394007,-19.648562106179515,1.2223662949730294,0.0363149479923085,0.5840561578257064,0.031242757780939,2.6111682926968256,0.0396708300989917,1.1088538536658654,43,5.886812431867733,24.063289642333984,26.832200970173297,22.302325581395348,67,27.097667181669777,0.1252135669483858,1.678115171544692,26.79939651489257,4.675385954932469,2.9411764705882355,77,26.857185883381348,0.70632480273857,26.796229088666703,5.041913225567743,,0,,,,,0,,,,,0,,,,,117,-313.9395312048068,5.117973836143581,117,-177.73615393878643,2.8751229594692496,117,-128.80524755452325,2.189725509215857,77,-22.70842492971216,4.140852035504589,77,-12.902645438798425,2.3372726597460365,77,-6.720924202090946,1.7651588528540094,-11.60842492971216,-0.6626454387984246,0.5290757979090541,13.182563911826833,117,209.51627142153876,-19.64849910684003,9.643192899347747,9643.192899347749,41.029923894366554
LP_2371,He+2022,,82.87173474268567,0.0629449598860032,2.146342585506852,0.0517885831323,201.5515012990259,-16.668883935591047,-0.783102402584383,0.077918258515915,0.8057156529423378,0.0603236056790493,2.575263408422744,0.0756305807887917,1.4708919109684406,162,4.824578179253472,28.90219497680664,17.527797371378025,20.234567901234566,49,32.42579121492347,0.146763149060701,1.0347103988915158,30.8789005279541,8.47468179015593,1.9824561403508767,184,27.8789717526148,2.7955374226859893,29.967788696289062,13.77971855344574,21.0,13,29.529998779296875,0.4199999662546011,28.96999931335449,1.285002624135256,43,28.60142016181094,0.7439621172868538,30.0310001373291,9.112897696738486,0,,,,,505,-347.72832597767325,27.560415705088072,505,-136.99165667840694,10.03039648785743,505,-111.53235801031448,6.145139862173447,184,-25.48832338978333,12.311689979785848,184,-7.7475923447575425,4.9924174985921095,184,-8.56877998780209,4.125982965562917,-14.388323389783327,4.492407655242458,-1.31877998780209,14.125378548042052,505,201.5025426969999,-16.61627116964698,11.62711878457414,11627.11878457414,17.954757228611083
499,Liu+2019,NGC 6913,305.8756437078419,0.0210405432659646,38.48891497595587,0.0244461557139521,76.83898271420556,0.6541634308381354,-3.32520350039873,0.0281697995420815,-5.75212808198443,0.0315582579460696,0.5615412132376069,0.028053689694059,1.0258587823397871,12,14.01083501180013,-5.444977283477783,60.01129085761354,23.58333333333333,24,-30.074801127115887,2.307161002323545,15.951473893790409,-30.225566864013672,48.91011107167048,1.7241379310344829,31,-19.76242014841102,5.5990331703117455,-24.433557359773435,56.39624742306611,,0,,,,,0,,,,,0,,,,,138,406.7045372994923,22.99235699227144,138,1739.3841000979237,98.56670172249204,138,20.39577785160597,2.9658000864054563,31,50.589271636983845,12.681254714095113,31,-32.01258885450445,55.05327086868717,31,-5.159559693989756,2.168627462602598,61.68927163698385,-19.77258885450445,2.090440306010244,4.999999999999999,138,76.83948177307725,0.6541687229511585,-5.183666389118155,-5183.666389118155,106.29112018575029
2328,Liu+2019,Cl VDBH 56,134.41255280157358,0.028363540317073,-43.14115903035272,0.0316285039439345,264.46675431955964,1.6054459070488805,-5.564546762126809,0.0387261889197609,5.339096553681339,0.03903232198773,1.1036839118753317,0.0368187463644779,1.0546529365308357,22,8.1994365345348,18.23750305175781,12.467200590837884,18.5,50,0.3736224365234375,0.2424118518829345,0.8495481931246244,18.28886985778809,118.71106034094018,1.8846153846153848,54,1.0877044412497758,0.6683100256403657,18.28886985778809,114.3317572622744,,0,,,,,0,,,,,0,,,,,66,-87.42364881649965,4.051517996019678,66,-902.5428751858276,31.222276365831743,66,25.41468541672965,1.4130848617090424,54,-33.052192376144646,10.521641686134402,54,2.0361380549598005,113.77749213153416,54,-3.158092178546685,3.603211695739125,-21.952192376144644,14.276138054959802,4.091907821453315,20.99999999999997,66,264.4673787227015,1.605454286347767,-11.973777940209011,-11973.777940209013,641.9629610413405
2394,Liu+2019,Pozzo 1,122.24891462679123,0.0372396259132875,-47.3890288831516,0.0431141284627651,262.7987120295704,-7.792256151920887,-6.334213702548296,0.0495108420695733,9.354341892185728,0.0539101110685856,2.823482871672025,0.0447340274075849,1.0919682913963948,116,5.148169155778556,15.354144096374512,23.474881456443224,16.68103448275862,0,,,,,,,163,15.45977429812754,3.2872702874471287,18.290422439575195,19.543049447139904,2.6666666666666665,61,19.8804931640625,0.4634426304551421,19.71999931335449,7.140335020281009,0,,,,,0,,,,,436,-44.097225607210746,4.606365758354173,436,-348.9915269393956,17.839095692610776,436,-48.16145242576098,3.496718322373056,163,-20.612105662336056,2.5415501630639774,163,-12.719917163015928,19.213780540309475,163,-2.8395729354285693,2.750970893434471,-9.512105662336056,-0.4799171630159282,4.410427064571431,7.000000000000002,436,262.7984902223817,-7.796073238389654,1.0548764659082093,1054.8764659082092,370.3517181614353
CWNU_1115,He+2022,,332.5000784297098,0.0478046118323482,63.374301039178704,0.046619372581368,105.96635000921788,5.953038747545905,-0.906629992481476,0.0613272937376107,-2.106658730850995,0.0584696264409307,1.0897526550505208,0.0528259206174024,1.4934893935473996,13,10.7735595703125,-18.298463821411133,35.71011568878612,13.23076923076923,2,-18.43600273132324,0.7950841188430786,13.056222915649414,-18.43600273132324,6.215020656585712,2.5,15,-23.218698946634927,9.44309560060501,-18.298463821411133,33.374441560310835,,0,,,,,0,,,,,0,,,,,67,-251.4566901967295,10.497744456307274,67,878.9772613727366,36.59854407636562,67,95.32958322278972,4.546495638457918,15,13.880186500104408,9.374881566026666,15,-19.532657059898263,31.93433215764032,15,-7.2451877380799905,3.8317253696331255,24.98018650010441,-7.2926570598982625,0.0048122619200094,5.011870135142811,67,105.96469871951322,5.95284187087523,-13.806708795553398,-13806.708795553395,356.0764679774442
CMa06,Santos-Silva+2021,,106.15715525928546,0.0420442001981885,-11.377035594995114,0.0453111239128712,224.5530446497064,-2.2786335043914594,-4.174246096641629,0.0522886046564391,1.551334621417363,0.054206139130118,0.8629558218819314,0.051995517071629,1.037612036260635,56,11.003385271344866,23.338668823242188,30.030331082218908,11.803571428571429,0,,,,,,,56,17.945255194391525,11.00338579927172,23.33866786956787,30.0303310822189,,0,,,,,0,,,,,0,,,,,382,-828.4051454364381,52.82641878417491,382,-815.5964052678933,52.29357111507736,382,-46.27648158635152,6.581398857126714,56,-25.064494202653616,21.368422150280544,56,0.8137043861077876,21.13246907458416,56,-16.944790798685567,2.1568214007348896,-13.964494202653617,13.053704386107787,-9.694790798685569,9.000000000000007,382,224.5536063192185,-2.279572038732507,1.177838605161154,1177.838605161154,25.816281086119528
