cluster,ref,SimbadName,ra,ra_error,dec,dec_error,GLON,GLAT,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,ruwe,N_dr3,radial_velocity_error,radial_velocity_med,radial_velocity_std,rv_nb_transits,N_apogee,vhelio_avg,verr,vscatter,vhelio_avg_med,vhelio_avg_std,nvisits_apogee,N_rv_weighted,rv_weighted,rv_weighted_error,rv_weighted_med,rv_weighted_std,NF_VRAD_FLAG,N_ges,VRAD,E_VRAD,VRAD_med,VRAD_std,N_galah,rv_galah,e_rv_galah,rv_galah_med,rv_galah_std,N_rave,HRV,e_HRV,HRV_med,HRV_std,N_X,X,X_std,N_Y,Y,Y_std,N_Z,Z,Z_std,N_U,U,U_std,N_V,V,V_std,N_W,W,W_std,vx,vy,vz,age_myr,N_tot,l,b,rv_lsr,rv_lsr_m_s
CWNU_1165,He+2022,,357.85758894949066,0.0196070253849029,52.70309018124816,0.0197532296180725,113.7833476721614,-9.094811688005825,5.102833783680065,0.0259576876958211,-3.763607376330484,0.0249868591626485,2.3256626969984167,0.0294431110223134,1.0449105580647786,8,2.1837048530578613,-13.004250526428224,14.498395962713074,22.5,0,,,,,,,8,-12.192252844572067,2.1837048083543777,-13.004250526428224,14.49839596271307,,0,,,,,0,,,,,0,,,,,15,-171.29831369497077,6.135234110084011,15,388.7197841325747,10.217645039128945,15,-68.02236064404845,5.519039205871989,8,-1.2610127553495136,6.101909478559118,8,-15.504578347166568,13.18049475642778,8,-7.963345154569822,3.597020390242121,9.838987244650486,-3.264578347166568,-0.7133451545698222,50.11870135142811,15,113.7817921890214,-9.097645304021928,-6.7547080293051,-6754.708029305099
CWNU_1143,He+2022,,240.0113901383267,0.0465609043836593,-25.477728663978,0.0287267804145813,347.8758093378027,20.490200072583374,-21.60213527599497,0.0620626509189605,-33.86416900614193,0.0402921348810195,9.338451268359456,0.0513637721538543,1.4051867485046388,22,3.4224999167702417,-2.958233594894409,7.646196902122658,15.863636363636363,10,-2.161971855163574,0.1567554473876953,0.0,-3.911635875701904,5.672955946983424,0.9090909090909092,27,-2.8529184514286587,1.8805713158309685,-3.478160032292825,5.416081113870717,,0,,,,,0,,,,,0,,,,,40,98.0091934671377,1.7250265971349827,40,-21.063245566812544,2.608781356923222,40,37.465586022660624,2.981980954141896,27,-5.111646095476829,5.130198309827648,27,-19.03668237028705,1.1333663252440818,27,-5.451569217506428,1.872084078761585,5.988353904523171,-6.79668237028705,1.798430782493572,25.118869830988675,40,347.87099852904873,20.49236060934687,7.451488879773636,7451.488879773637
CWNU_1181,He+2022,,102.3133529905944,0.0336274644907783,-15.08746441535986,0.0389743762857773,226.1889339792852,-7.289667780562071,0.0625602061197064,0.0448679538334117,-5.703420424510624,0.0489531860632054,5.9178466292927965,0.0455673897967619,1.0634625378776998,8,4.1128458976745605,22.000144958496094,6.586018911265756,16.625,0,,,,,,,8,20.947890996932983,4.1128460466861725,22.00014591217041,6.586018911265753,,0,,,,,0,,,,,0,,,,,17,-116.04836844703313,2.0291326305368576,17,-120.97520848219712,2.4430192127359875,17,-21.44286496303252,1.3762733609892002,8,-11.19191991095351,4.519894776145699,8,-17.707460684738734,4.696930977894449,8,-4.540743429745773,0.8258632362524662,-0.0919199109535107,-5.467460684738734,2.709256570254227,28.183816934781422,17,226.190795019786,-7.289254906030368,3.633071899717309,3633.071899717309
CWNU_1046,He+2022,,97.11980631592,0.0270210341973738,-21.2472163545319,0.0441715464447483,229.7370418854436,-14.369528446283702,-5.583570742655685,0.0343883290435328,6.171629428608848,0.0505595423958518,3.0523433848733834,0.0565074248747392,2.031516104033499,13,3.932471642127404,21.94743728637696,35.18838867773459,38.15384615384615,0,,,,,,,13,30.891291086490337,3.932471776810976,21.94743728637696,35.18838867773458,,0,,,,,0,,,,,0,,,,,33,-205.2774933239204,6.791879324081596,33,-242.38577951500085,8.135717382078354,33,-81.3174579821864,4.121320449158746,13,-28.08454922256451,22.15360756219636,13,-14.032912453578234,26.215612319495225,13,-11.863294628009909,8.168993814736803,-16.98454922256451,-1.792912453578234,-4.613294628009909,35.48135450617082,33,229.73860263140537,-14.359982537552906,13.103344243890026,13103.344243890026
CWNU_1013,He+2022,,104.58948815779183,0.0350576229393482,-35.059699440864755,0.0406783744692802,245.49652685306827,-13.884349798932794,-11.901535765643793,0.0465595796704292,8.34280923182011,0.0513261929154396,4.402589340962003,0.0446513332426548,1.5208007097244265,10,9.609275817871094,14.145376205444336,4.864303583271416,20.0,0,,,,,,,10,13.151226959161502,9.518360806550447,14.145376205444336,4.816823664663636,,0,,,,,1,15.003158233947754,1.0938923066616262,15.003158233947754,0.0,0,,,,,32,-91.49506667373998,3.551827398279154,32,-200.84787747541367,7.426476203336501,32,-54.55310376881947,2.823249940925017,10,-16.343257800528185,2.400875631024045,10,-4.333242393071102,4.00719225474221,10,-11.02403781743853,1.3965400141936093,-5.243257800528186,7.906757606928898,-3.774037817438529,31.6227766016838,32,245.50864226738176,-13.88381638394257,-3.9694060088624648,-3969.4060088624647
UBC1103,CastroGinard+2022,,306.8736278788504,0.022705955505371,38.75872031981142,0.0267763352394104,77.5097454736553,0.1738941737293702,-0.2120421165862351,0.0306786155700683,-2.839381909144385,0.0372099328041076,0.5961233452238015,0.0302431154251098,1.0070844268798829,7,8.623551504952568,-12.887529373168944,65.56157334466876,19.285714285714285,0,,,,,,,7,26.84470251628331,8.623551820005689,-12.887529373168944,65.56157334466876,,0,,,,,0,,,,,0,,,,,50,363.0039925963663,10.208051494964272,50,1638.6546192087562,37.65187332899985,50,5.084917814281823,2.7258535361435814,7,24.45561509940859,14.056544892071662,7,22.134919005661885,64.07348168736581,7,-11.64824489082275,0.5459984125737276,35.55561509940859,34.37491900566189,-4.398244890822751,30.83186839900253,50,77.50923163137385,0.173586055787212,41.23783056414958,41237.83056414958
UPK_200,Sim+2019,,347.5199862835846,0.0306943678951646,58.54371387474172,0.0292655224780959,110.02150102245054,-1.747643055999683,-0.4348523933519337,0.0393654390511263,-1.0471765369489334,0.0361235706681707,1.0222131342418028,0.0373231780576897,1.0910316068963353,55,9.06451915394176,-22.54134750366211,19.101182763262447,18.43636363636364,0,,,,,,,55,-25.17289211316542,9.06451927098361,-22.54134750366211,19.10118276326244,,0,,,,,0,,,,,0,,,,,249,-336.10613147935857,28.14535645422705,249,922.3381637379543,60.92959924261503,249,-30.095984415298386,13.590664758166032,55,12.069004286633046,6.611418544742068,55,-22.5133177390288,17.958574173119285,55,-2.859436784107708,1.1230992597510965,23.169004286633047,-10.273317739028796,4.390563215892292,56.23413251903491,249,110.02207509171876,-1.7560216838297211,-17.711344380183824,-17711.344380183826
IC_2602,CantatGaudin+2020,IC 2602,160.38878561997873,0.036427238612499,-64.38297288079293,0.0353361950723098,289.4584103486883,-4.998026124481527,-17.73656707369285,0.0474606609653114,10.669310104759468,0.04391268696214,6.5960649513764045,0.0405854931927035,1.1766928268481998,124,4.872077695785031,16.559040069580078,19.921735645276254,14.241935483870968,0,,,,,,,144,17.770089959310454,3.631917544462377,17.49201434041572,17.788255244234247,2.125,47,19.07787176903258,0.5606383059887176,17.6200008392334,5.782025209618504,10,17.567699813842772,0.2378000006079673,17.58199977874756,0.8389215781902574,5,13.8656,2.3732,14.145,4.395704794455606,309,50.3374545914987,4.038855447391185,309,-142.40615386939092,3.248274374321745,309,-13.22219575132025,2.772862135884207,144,-8.070803161762463,6.026324134529457,144,-21.709901849854344,16.61819330276875,144,-0.8701873441376557,1.7761251626787118,3.029196838237537,-9.469901849854343,6.379812655862344,36.30780069327641,309,289.4673852719175,-5.002945358350456,9.34383558437231,9343.835584372311
CWNU_1074,He+2022,,295.8840246359641,0.0399604954502799,6.437478228690049,0.0353274805979295,44.71195683169464,-8.521813113568314,0.7185149996316116,0.048672616481781,-1.9640691199923048,0.0410020107572728,1.3400691140489434,0.0491011630405079,1.5613926974209873,11,5.86430566961115,-8.243162155151367,11.477483822795534,14.0,0,,,,,,,11,-12.299008564515548,5.864306189797142,-8.243162155151367,11.477483822795534,,0,,,,,0,,,,,0,,,,,22,524.7058678558801,11.368489324234028,22,519.4693521722488,11.827455786229516,22,-110.62704043704213,2.4602260137892005,11,-5.615876618248819,8.18639682549096,11,-12.736379160187262,7.970635042818784,11,-3.4558722051012536,1.6993881568423743,5.48412338175118,-0.4963791601872618,3.7941277948987455,35.48135450617082,22,44.712665339058645,-8.521213685576704,2.9466671919989524,2946.6671919989526
UPK_166,CantatGaudin+2020, ,339.21277283516474,0.0255144696486623,46.9203949297421,0.0271416212383069,100.33994549910892,-9.954004355101809,-0.9115847600022918,0.0333005102057206,-3.26545773477188,0.0340355496657522,1.517802403184327,0.0356736660003662,1.0485404566714638,104,5.7735108595628,-10.214771270751951,9.961604152006064,27.25,0,,,,,,,104,-9.781762899974218,5.773510822883019,-10.214770793914797,9.961604152006064,,0,,,,,0,,,,,0,,,,,190,-116.59593737739355,10.26968049576819,190,639.1083021116183,23.28708578332784,190,-113.96282241126308,8.048325707157963,104,9.486666427447146,1.7805746116278545,104,-9.38656237626942,9.665497190924304,104,-5.707765375478347,1.7601183801903146,20.586666427447145,2.85343762373058,1.5422346245216527,26.915337400578164,190,100.3390715067657,-9.949594386313334,-1.1407669306575776,-1140.7669306575776
