cluster,ref,SimbadName,ra,ra_error,dec,dec_error,GLON,GLAT,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,ruwe,N_dr3,radial_velocity_error,radial_velocity_med,radial_velocity_std,rv_nb_transits,N_apogee,vhelio_avg,verr,vscatter,vhelio_avg_med,vhelio_avg_std,nvisits_apogee,N_rv_weighted,rv_weighted,rv_weighted_error,rv_weighted_med,rv_weighted_std,NF_VRAD_FLAG,N_ges,VRAD,E_VRAD,VRAD_med,VRAD_std,N_galah,rv_galah,e_rv_galah,rv_galah_med,rv_galah_std,N_rave,HRV,e_HRV,HRV_med,HRV_std,N_X,X,X_std,N_Y,Y,Y_std,N_Z,Z,Z_std,N_U,U,U_std,N_V,V,V_std,N_W,W,W_std,vx,vy,vz,age_myr,N_tot,l,b,rv_lsr,rv_lsr_m_s
Mamajek_1,CantatGaudin+2020,Cl Mamajek 1,130.55321564002702,0.0302450970599525,-78.91322235796162,0.030771886047564,292.3943167356604,-21.579741474997288,-29.12765075200242,0.0456952515401338,27.429338803290378,0.0402835513416089,10.121023231606916,0.0315707890610945,1.651128969694439,11,2.63906530900435,15.99808406829834,2.4676094427181603,18.454545454545453,0,,,,,,,11,16.16160268303685,3.077028120964093,15.99808406829834,3.034897242717928,,0,,,,,0,,,,,1,-26.77,8.835,-26.77,0.0,19,35.00164557734755,0.2610542972661529,19,-84.95497523919346,1.117033833097624,19,-36.33759898598036,0.7818855724684578,11,-11.751671006146694,1.015364950560758,11,-19.02467495801749,2.6052304188684223,11,-10.824450919827628,1.22618005186558,-0.6516710061466942,-6.784674958017488,-3.574450919827628,1e-06,19,292.39177393628387,-21.57767615626276,6.917193814281252,6917.193814281251
OC-0068,Hao+2022,,274.45325214471063,0.0315616607666015,11.828477085938614,0.0346129576365153,39.8328463779671,12.756831640361444,-0.8907848236748545,0.0388903339703877,-7.191582492659106,0.0411016941070556,1.705740449376869,0.041243577003479,0.9860056559244792,7,5.181237901960101,-6.302657604217529,17.189489607898636,11.0,0,,,,,,,7,-6.927678516932896,5.181237970079694,-6.302657604217529,17.189489607898636,,0,,,,,0,,,,,0,,,,,15,439.5021151157917,13.504792857274165,15,366.62005347766336,11.707465269380297,15,129.58550824402073,4.291166265361964,7,7.995977398550754,13.342918369347371,7,-17.806952343218335,9.93352459376055,7,-8.125685587091242,4.579166552891208,19.095977398550755,-5.566952343218334,-0.8756855870912421,19.952623149688787,15,39.83389455290688,12.75745904235838,10.630561232222076,10630.561232222077
UPK_573,Sim+2019,,167.31213118666673,0.0428967640317719,-76.90547858640312,0.0434202079115242,297.1223755651602,-15.203344179062396,-22.466802124487263,0.0558683502263036,0.2113643293170439,0.0544152999746388,5.249003113115467,0.0473282378295372,1.6622878765237743,33,6.297612045750474,14.003217697143556,19.52907229042174,16.606060606060606,0,,,,,,,33,15.908242511026788,6.297612332033388,14.003217697143556,19.52907229042173,,0,,,,,0,,,,,0,,,,,116,83.83788603469358,1.7425386870384394,116,-163.7015123607437,3.9822122436210448,116,-49.97236076590435,1.9876432547584884,33,-10.50247848360374,8.358116071299916,33,-20.339715635883472,16.894832813835343,33,-11.66020302930876,5.116985510999271,0.5975215163962595,-8.099715635883472,-4.410203029308761,7.079456289251887,116,297.1187441914597,-15.200609220208262,8.376233054425912,8376.233054425911
Main,Zhou+2022,,277.3853259781534,0.0660386731227238,1.0159076059091725,0.0669843902190526,31.337008371455,5.334533520657362,3.168176227469164,0.0814438064893086,-8.63000282478207,0.0731091350317001,2.2948053917786155,0.0805012782414754,1.135120709737142,25,10.298253173828124,-10.741183280944824,38.94807194117938,10.8,0,,,,,,,25,-2.7964219641685486,10.298253059387209,-10.741183280944824,38.94807194117938,,0,,,,,0,,,,,0,,,,,96,371.2833804831855,16.507975604620416,96,226.0753641714248,10.476818221833408,96,40.61339609112205,3.7744524493931912,25,5.3630894694560585,32.92556809066674,25,-11.646676376904152,20.53265802008694,25,-14.126755730663824,3.741877588228845,16.463089469456058,0.5933236230958485,-6.876755730663824,21.90000000000001,96,31.33733796445613,5.337605447317782,13.668014280455262,13668.014280455262
UPK_41,Sim+2019,,279.8156184784483,0.0620476325352986,0.5108664155740904,0.0643905202547709,31.998017280916866,2.9418084555750497,2.6037533398860204,0.078044581413269,-8.21866363219104,0.0690900961558024,2.0768134925703974,0.077769390741984,1.0309579213460287,15,7.297140502929688,-5.38433837890625,10.991338924057892,10.933333333333334,0,,,,,,,15,-8.167362761497497,7.297140789031983,-5.38433837890625,10.991338924057889,,0,,,,,0,,,,,0,,,,,60,408.49569378858985,17.124353074235756,60,255.2178950559909,10.4905076830011,60,24.75815947317565,2.979134820602748,15,1.1885890286864558,9.37826771924921,15,-15.952678435505218,5.700912880648666,15,-14.065312570137593,0.9241061901725144,12.288589028686456,-3.712678435505218,-6.815312570137593,7.079456289251887,60,31.996111737381693,2.9424586391272545,8.093553146419199,8093.553146419198
Pozzo_1,CantatGaudin+2020,Name Pozzo 1,122.31750151463916,0.0349808780141284,-47.29676362058807,0.0400441121914393,262.7470081098153,-7.702237880588689,-6.504883908912434,0.0465196677013836,9.680868849933844,0.0495388514876014,2.904953783273433,0.0419550167072487,1.0594845211963035,105,5.381222679501488,15.394883155822754,19.126773018090844,17.00952380952381,0,,,,,,,187,15.939667996056889,2.2256105031002,17.09000015258789,10.432940814380098,3.0,117,16.82170848357372,0.4244444431402744,17.200000762939453,8.920109787381145,0,,,,,0,,,,,339,-43.109718800465735,3.4323541336469297,339,-338.6309506448969,9.351608257264324,339,-46.16579636494723,3.416823135506167,187,-20.85667773599389,1.422515231981265,187,-13.187925007715666,10.268081566315685,187,-2.7479093349267134,1.3710811579282216,-9.756677735993891,-0.947925007715666,4.502090665073286,9.54992627963112,339,262.7449348912106,-7.701907921841992,1.549509031888888,1549.509031888888
CWNU_1083,He+2022,,125.5030313187885,0.0483089916369053,-41.8141461744728,0.0559517126432888,259.42094182274536,-2.784122106832668,-7.185513834147788,0.0648827078454781,10.008570106440382,0.0723152659950456,2.9294849590958423,0.0615537004321033,1.589300664931692,96,4.910605748494466,16.752513885498047,30.241877189555247,19.322916666666668,0,,,,,,,96,15.380558466849228,4.910606256065269,16.752514839172363,30.24187718955524,,0,,,,,0,,,,,0,,,,,382,-62.70068258520888,7.732235874990446,382,-335.34827093992936,11.069631877788948,382,-16.587956198618865,8.948570658966917,96,-22.610889923445075,6.080527703434607,96,-11.32933058729506,29.59944743663153,96,-1.6317158855922838,2.9435341514997773,-11.510889923445076,0.9106694127049408,5.618284114407716,7.943284091521296,382,259.4095812247213,-2.783659349946457,0.9461030184815304,946.1030184815304
OC-0408,Hao+2022,,104.80638105935805,0.022801299393177,-26.449723305647108,0.0296507835388183,237.56401093365216,-10.1386201455763,-3.257144452482998,0.0302629321813583,3.602970569501572,0.0368350803852081,1.186444259914769,0.0364720165729522,1.29739408493042,12,6.303051630655925,30.7659969329834,11.455652797350156,26.916666666666668,0,,,,,,,12,29.269790649414062,6.303051590919495,30.7659969329834,11.455652797350156,,0,,,,,0,,,,,0,,,,,20,-446.4757152819552,25.92663767204562,20,-702.5508788886739,40.574176395133485,20,-148.83334245286545,8.304537473394985,12,-30.81209004639078,5.941921688203335,12,-13.419525877042153,10.099945243750756,12,-10.47865897951314,2.495706813431527,-19.712090046390777,-1.1795258770421526,-3.22865897951314,15.848931924611142,20,237.5637724704668,-10.137173011378987,11.955965360378531,11955.965360378532
Upper_Sco,He+2022,,234.5080791590428,0.0589550394308009,-31.47633245603,0.0424547526418252,340.3082153322104,17.572991947336632,-15.455258000268085,0.0796679876734404,-23.22967190578488,0.0615743189595022,7.034903083680041,0.0682230132534127,1.656152727867596,1921,5.459456642861791,-2.173725843429565,32.04175719736828,15.429463820926602,966,-4.923695187144151,0.1372548200952725,0.4762276176392562,-5.279168128967285,9.464887656386953,1.190944881889764,2449,-2.626834081593952,3.244746446943489,-3.4309797286987305,26.73949540374317,2.0,43,-6.234651077625363,0.5004651269247365,-6.550000190734863,2.018844119646007,80,-0.8522700680014965,0.5248234997055549,-2.378332354148865,13.250765807336496,38,2.865921052631579,5.053210526315789,4.2675,17.956514062680455,4322,124.33094923118092,17.6802670221009,4322,-43.76725040101043,28.571295875805976,4322,43.06244600804981,9.669110267995478,2449,-6.354874014185194,23.18611832154585,2449,-17.288819054441507,9.635087243219507,2449,-6.843151162684579,8.185272426904405,4.745125985814806,-5.048819054441507,0.4068488373154206,17.78279410038923,4322,340.6068013468245,18.09231970249344,5.974511507839672,5974.511507839672
CWNU_1261,He+2022,,229.4673781840108,0.05447378579308,-32.08324189472823,0.0422279694501091,335.77242351961286,21.286159490989306,-13.877859038127175,0.0671418204027063,-21.465043115482928,0.0547627946909736,6.24973737024607,0.0617749059901518,1.1391134823069853,6,6.688784917195638,-3.211442947387696,14.154978802331506,10.333333333333334,0,,,,,,,6,-9.379933754603067,6.688785076141357,-3.211443066596985,14.154978802331506,,0,,,,,0,,,,,0,,,,,17,135.96826275474046,2.6797795607112773,17,-61.16007110473837,1.737475320592562,17,58.113236684078736,2.5633007271517583,6,-12.874975646518406,12.031776474419695,6,-13.6954654507774,5.208726503313423,6,-10.262003230046329,5.208701873946989,-1.7749756465184063,-1.4554654507773996,-3.0120032300463286,11.22018947073786,17,335.7812428154164,21.29511298908433,-2.0458051430287223,-2045.8051430287223
