cluster,ref,SimbadName,ra,ra_error,dec,dec_error,GLON,GLAT,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,ruwe,N_dr3,radial_velocity_error,radial_velocity_med,radial_velocity_std,rv_nb_transits,N_apogee,vhelio_avg,verr,vscatter,vhelio_avg_med,vhelio_avg_std,nvisits_apogee,N_rv_weighted,rv_weighted,rv_weighted_error,rv_weighted_med,rv_weighted_std,NF_VRAD_FLAG,N_ges,VRAD,E_VRAD,VRAD_med,VRAD_std,N_galah,rv_galah,e_rv_galah,rv_galah_med,rv_galah_std,N_rave,HRV,e_HRV,HRV_med,HRV_std,N_X,X,X_std,N_Y,Y,Y_std,N_Z,Z,Z_std,N_U,U,U_std,N_V,V,V_std,N_W,W,W_std,vx,vy,vz,age_myr,N_tot,l,b,rv_lsr,rv_lsr_m_s
UBC_174,CantatGaudin+2020, ,341.40614415220614,0.0254348312412296,57.36631231399304,0.0236700440312291,106.58336256467716,-1.456426035706266,-3.307127841545649,0.0308137648814433,-2.840982181549905,0.0282315112449027,0.279193280282861,0.0300334359074498,1.015631460928702,7,4.266945702689035,-71.83295440673828,27.518346573859223,15.571428571428571,0,,,,,,,7,-63.40506635393415,4.26694575377873,-71.83295440673828,27.51834657385914,,0,,,,,0,,,,,0,,,,,222,-1040.797159557265,144.36207930873837,222,3494.970761603275,484.4942406131013,222,-92.62608397469464,14.56408632306776,7,86.21494641744883,15.28785237443952,7,-40.90799922378966,24.615067125809144,7,-14.472626267670153,1.9237478514713524,97.31494641744882,-28.667999223789657,-7.222626267670153,10.0,222,106.58345417067927,-1.4550171195200752,-55.04915833976015,-55049.15833976015
CWNU_1129,He+2022,,68.61765462916283,0.0571123695373535,22.869391276229784,0.0342880868911743,175.53310925972252,-16.51070842777857,9.482976729858606,0.0752059745788574,-17.192088058179287,0.0547587394714355,6.18000555957611,0.0628675460815429,1.9859669494628909,5,5.864094924926758,19.42522048950196,11.69501244328161,14.0,17,17.407350427964154,0.1159638937781838,1.3754181581384994,17.1157169342041,2.401874057493474,2.3529411764705883,18,18.857952831642155,0.3934320419147492,17.125669214769616,6.423118429402976,,0,,,,,1,15.550977721252444,0.770459812146619,15.550977721252444,0.0,0,,,,,25,-154.7025924132589,2.697872969096313,25,12.082469406237454,1.1686921649046016,25,-46.00662936125235,2.062560020000127,18,-18.34482356682743,5.850545715303355,18,-13.2973766464097,1.4757179265665723,18,-8.17657511735794,2.8948485924129166,-7.24482356682743,-1.0573766464097003,-0.92657511735794,1.778279410038923,25,175.53419215006076,-16.514284583539215,7.109326063504363,7109.3260635043625
OC-0345,Hao+2022,,83.59916977317692,0.0426428318023681,-5.546202512767194,0.0355462594465775,209.05408505445533,-19.64963816542498,1.0722275214842183,0.0570374835621226,0.1410446386322399,0.0438427274877374,2.5738847332082773,0.0589316649870439,1.1408860466697,8,5.38727331161499,17.565505981445312,35.42940614127994,17.125,13,25.693702110877403,0.0920879755701337,0.5790726116725377,25.98261070251465,2.8719975300691925,2.0,15,30.503980920610854,0.7973270842931471,26.136756896972656,17.882073291303612,,0,,,,,0,,,,,0,,,,,22,-319.90058664060894,4.07392620376227,22,-177.71793852165086,2.218355935013069,22,-130.66720588212937,1.7087270090540627,15,-25.35935845932876,14.95177501991092,15,-14.745516874187784,7.859801099347423,15,-8.570930838640868,6.067018031378107,-14.25935845932876,-2.505516874187784,-1.3209308386408676,19.952623149688787,22,209.0539732088795,-19.649722276312293,13.329204882854738,13329.204882854738
LP_2382,He+2022,,85.72387767791639,0.0589632596650746,0.5383356878502567,0.0520676494007052,204.4366362173547,-14.942518151973095,-0.9144580480897913,0.0726819487690563,-0.8773120252599486,0.0582193879008655,2.409749200107486,0.0715035435638891,1.246722746040321,78,6.138149163661859,21.9682731628418,43.74787517940807,20.94871794871795,101,42.37339012221535,0.1322129506331223,1.680615938626803,28.11490058898925,91.70515258324474,4.019230769230769,151,34.668419916810414,1.87743014665214,27.89642143249512,78.51972577980504,,0,,,,,3,13.69200070699056,0.1139999975760777,19.232999801635746,24.262618464259347,0,,,,,329,-365.3629497183294,13.965196053037426,329,-166.011192914738,10.660188445110672,329,-107.125165435302,6.865254873232844,151,-29.479128513709707,68.80765261199282,151,-14.760499379124733,32.5944358044893,151,-10.92165590585251,19.389803202829675,-18.37912851370971,-2.5204993791247325,-3.671655905852511,2.2387206469639778,329,204.43578260362844,-14.94596343499725,18.12108526336122,18121.08526336122
L1251,Szilagyi+2021,,340.9239352487617,0.0464508391138333,75.27962441938006,0.0468420057154413,114.9558369858766,14.429595487002835,7.241477396089338,0.0603955895153444,0.6343090018830111,0.0594883320936516,2.911905107697828,0.0503979298605847,1.0551589282590952,12,6.364929835001628,-49.7271614074707,39.29017185578603,15.333333333333334,0,,,,,,,12,-46.82666238149008,6.364930013815562,-49.7271614074707,39.29017185578597,,0,,,,,0,,,,,0,,,,,67,-140.36106033703442,3.016305116531879,67,301.6469327922282,6.396258078550839,67,85.61411523170315,2.519288072999607,12,8.901258003183715,16.34841379765359,12,-44.623633376394594,34.34853899263332,12,-16.236032879282863,9.863373372075085,20.001258003183715,-32.38363337639459,-8.986032879282863,3.000000000000001,67,114.95329937520744,14.43072318656073,-38.845640902630144,-38845.64090263014
OC-0406,Hao+2022,,109.9233127919361,0.0236043683413801,-24.033348743072864,0.0364679879155652,237.46425799548345,-4.919127552736272,-2.7553285394654528,0.0289562735064276,3.0732171883627872,0.0491184078413864,0.8245784575639259,0.0483539063355018,1.3807134957149112,6,10.62669563293457,34.45716094970703,12.319133513213483,40.833333333333336,0,,,,,,,6,37.23896439870199,10.626695156097412,34.457162857055664,12.319133513213444,,0,,,,,0,,,,,0,,,,,29,-651.2254260030422,30.079549087516977,29,-1020.812554793118,47.12359151744669,29,-104.21220984315993,4.855242385625552,6,-38.399691716674425,6.612032170537273,6,-18.94104125308461,10.41071078545313,6,-8.66344468497554,1.574736408731125,-27.299691716674424,-6.701041253084609,-1.4134446849755395,5.011872336272725,29,237.46423803554964,-4.919066925453896,20.378149102955167,20378.149102955165
CWNU_462,He+2022,,314.56607147503445,0.057403752678319,76.85226922396299,0.0574847146084434,111.07031072791226,19.74090749241416,5.379899674226987,0.0773049404746607,3.620030355068649,0.0710960689343904,2.666707652418838,0.0601921457993356,1.7655187907971834,27,4.637656035246672,-21.4206771850586,39.02034802735161,17.11111111111111,0,,,,,,,27,-27.61688903526024,4.637656371350642,-21.4206771850586,39.020348027351616,,0,,,,,0,,,,,0,,,,,76,-127.01820161552784,7.140253782762965,76,329.6506494585234,10.968488619066283,76,126.7990191449903,5.704219040114768,27,-1.1055594481174718,13.682405308669404,27,-26.84408562704964,34.28351384777652,27,-13.100305731932949,13.243406144465084,9.994440551882528,-14.60408562704964,-5.850305731932949,14.125378548042052,76,111.07224997134747,19.74430488193599,-18.184871775752704,-18184.871775752705
NGC_1893,CantatGaudin+2020,NGC 1893,80.7368907969112,0.0386358949004626,33.44904024583307,0.0272998868441972,173.57938806689228,-1.6224555858241858,-0.313256575876216,0.0497817641398945,-1.42830230135379,0.0336016240667124,0.300612679882248,0.0447894354335597,1.0556400486680328,13,7.620553823617788,15.284258842468262,23.81515881282516,10.538461538461538,0,,,,,,,13,14.343362033367155,7.620554007016695,15.284258842468262,23.81515881282515,,0,,,,,0,,,,,0,,,,,122,-3408.498869907816,624.6289644479539,122,383.6383037545994,71.1600375189937,122,-97.2402795848526,19.57784151138974,13,-15.692415160994177,23.498001878886072,13,-15.44055285463968,5.427486845721689,13,-16.81698649272851,3.398750530162718,-4.592415160994177,-3.20055285463968,-9.56698649272851,4.365156980428764,122,173.5781891591593,-1.6238868519789524,4.475050556850321,4475.050556850321
Collinder_106,CantatGaudin+2020,Cl Collinder 106,99.19647586651158,0.0311552777009851,5.945209569715286,0.0292198657989501,205.97264317970297,-0.5342477050209193,-1.5282949929936056,0.0392378470476935,0.5153364303933257,0.0338585320641012,0.6520933568121637,0.0357962271746467,1.044038750143612,16,11.14434051513672,22.230369567871094,19.90199781646031,11.875,1,30.320465087890625,1.2555787563323977,25.46460723876953,30.320465087890625,0.0,6.0,17,23.775080484502457,10.56264847867629,22.747194290161133,19.37699054171621,,0,,,,,0,,,,,0,,,,,85,-1383.234619215337,80.99301827983038,85,-673.8279659043967,39.64068644171362,85,-14.418150183096955,6.644304444304604,17,-25.0690613784006,17.39809852025183,17,-2.660727682396814,8.544383426449427,17,-8.902344335215355,0.4977573114724973,-13.969061378400598,9.579272317603186,-1.6523443352153553,24.54708161038214,85,205.97253377565136,-0.5368899597938447,8.378210398069774,8378.210398069774
NGC_6913,CantatGaudin+2020,NGC 6913,305.90535319482115,0.0140933369247006,38.48579368435448,0.0159608965188684,76.8497637917274,0.6333098284493406,-3.404760106912967,0.018892659267909,-5.815403657676604,0.0202824935107164,0.5605858559930821,0.0186577263012738,1.0212245457608935,5,19.706622314453124,-62.40278625488281,25.58335231273164,23.4,18,-41.43999226888021,2.587725866408575,20.066608247302828,-40.89956283569336,47.54702347463936,1.9523809523809523,20,-42.291995955314505,5.2591516884118,-40.94471664838129,45.37345767275815,,0,,,,,0,,,,,0,,,,,71,406.43454649644656,16.12379698583311,71,1739.7317263842594,69.90664433648321,71,19.75557671846791,2.8766222568820723,20,45.90221001643191,10.764359092834574,20,-54.059626596764325,44.15251336077893,20,-5.360924394780285,0.964029752077586,57.00221001643191,-41.81962659676432,1.8890756052197155,21.877623926123007,71,76.85045128214954,0.6335385296687035,-27.73288213073531,-27732.88213073531
